일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/05/18","17700","-350","-1.94","17900","18200","17600","272061","4871200250","444837072600","25132038"
"2021/05/17","18050","550","3.14","17750","18500","17450","462193","8322094350","453633285900","25132038"
"2021/05/14","17500","550","3.24","17250","17500","17050","200859","3479268750","439810665000","25132038"
"2021/05/13","16950","-250","-1.45","16800","17450","16700","314012","5362379050","425988044100","25132038"
"2021/05/12","17200","-500","-2.82","17700","17900","17150","378907","6625849050","432271053600","25132038"
"2021/05/11","17700","-350","-1.94","17950","18050","17650","272887","4861247350","444837072600","25132038"
"2021/05/10","18050","-100","-0.55","18250","18400","17950","378169","6849703700","453633285900","25132038"
"2021/05/07","18150","-50","-0.27","18100","18550","18100","418935","7653185300","456146489700","25132038"
"2021/05/06","18200","-550","-2.93","18800","18850","18050","532766","9753442200","457403091600","25132038"
"2021/05/04","18750","-900","-4.58","19300","19850","18500","913044","17319589450","471225712500","25132038"
"2021/05/03","19650","900","4.80","21800","23200","19550","7944797","173205554750","493844546700","25132038"
"2021/04/30","18750","-150","-0.79","18900","19000","17850","653551","12400363300","471225712500","25132038"
"2021/04/29","18900","400","2.16","18800","19350","18500","561129","10619808250","474995518200","25132038"
"2021/04/28","18500","-650","-3.39","19150","19500","18350","451798","8457487350","464942703000","25132038"
"2021/04/27","19150","-850","-4.25","20000","20000","19150","545657","10574131950","481278527700","25132038"
"2021/04/26","20000","900","4.71","19200","20400","19000","1251821","24725685200","502640760000","25132038"
"2021/04/23","19100","400","2.14","18700","19650","18450","835981","16083801550","480021925800","25132038"
"2021/04/22","18700","-300","-1.58","19000","19100","18500","269809","5077788650","469969110600","25132038"
"2021/04/21","19000","50","0.26","19100","19350","18700","307572","5844971150","477508722000","25132038"
"2021/04/20","18950","-750","-3.81","19650","19750","18850","499716","9548639050","476252120100","25132038"
"2021/04/19","19700","-50","-0.25","20200","20700","19650","696819","13991791800","495101148600","25132038"
"2021/04/16","19750","850","4.50","19050","19900","18700","869262","16939698250","496357750500","25132038"
"2021/04/15","18900","-200","-1.05","19200","19300","18450","397146","7448065450","474995518200","25132038"
"2021/04/14","19100","250","1.33","19000","19500","18900","419365","8020378550","480021925800","25132038"
"2021/04/13","18850","50","0.27","19100","19550","18600","664316","12657425600","473738916300","25132038"
"2021/04/12","18800","1250","7.12","17600","19200","17550","842124","15619043900","472482314400","25132038"
"2021/04/09","17550","-50","-0.28","17850","18000","17400","342021","6027485050","441067266900","25132038"
"2021/04/08","17600","50","0.28","17800","18350","17100","785089","13932283200","442323868800","25132038"
"2021/04/07","17550","1100","6.69","16500","17750","16450","481063","8285828350","441067266900","25132038"
"2021/04/06","16450","-200","-1.20","16750","16800","16400","150669","2485376950","413422025100","25132038"
"2021/04/05","16650","-450","-2.63","17300","17350","16650","210638","3552095550","418448432700","25132038"
"2021/04/02","17100","-100","-0.58","17500","17650","17000","257330","4447009250","429757849800","25132038"
"2021/04/01","17200","1000","6.17","16350","17400","16150","482786","8199801000","432271053600","25132038"
"2021/03/31","16200","-150","-0.92","16350","16500","16150","113787","1854079850","407139015600","25132038"
"2021/03/30","16350","0","0.00","16350","16400","16150","114776","1867527200","410908821300","25132038"
"2021/03/29","16350","-450","-2.68","16850","16900","16250","196959","3239540800","410908821300","25132038"
"2021/03/26","16800","750","4.67","16150","17000","16000","322312","5322731250","422218238400","25132038"
"2021/03/25","16050","-300","-1.83","16450","16500","15950","222816","3598808600","403369209900","25132038"
"2021/03/24","16350","-250","-1.51","16650","16750","16350","174612","2874215750","410908821300","25132038"
"2021/03/23","16600","-100","-0.60","16800","17200","16600","212976","3595702050","417191830800","25132038"
"2021/03/22","16700","-100","-0.60","16950","17000","16650","146266","2460378050","419705034600","25132038"
"2021/03/19","16800","-250","-1.47","16850","16850","16500","159588","2665727550","422218238400","25132038"
"2021/03/18","17050","0","0.00","17200","17200","16600","324138","5472766600","428501247900","25132038"
"2021/03/17","17050","-100","-0.58","17150","17350","16850","128853","2200653750","428501247900","25132038"
"2021/03/16","17150","800","4.89","16750","17350","16700","267698","4553377000","431014451700","25132038"
"2021/03/15","16350","-300","-1.80","16700","16850","16350","177934","2929139100","410908821300","25132038"
"2021/03/12","16650","300","1.83","16400","16800","16350","156746","2601592900","418448432700","25132038"
"2021/03/11","16350","0","0.00","16500","16750","16250","164258","2700025350","410908821300","25132038"
"2021/03/10","16350","-200","-1.21","16750","17100","16350","187672","3136957650","410908821300","25132038"
"2021/03/09","16550","-50","-0.30","16450","16850","16150","197740","3263507300","415935228900","25132038"
"2021/03/08","16600","550","3.43","16200","17800","16200","344152","5833607350","417191830800","25132038"
"2021/03/05","16050","-200","-1.23","16100","16450","15900","197040","3173955750","403369209900","25132038"
"2021/03/04","16250","-550","-3.27","16700","16800","16100","227377","3704926100","408395617500","25132038"
"2021/03/03","16800","-150","-0.88","16700","17200","16700","129329","2180461050","422218238400","25132038"
"2021/03/02","16950","150","0.89","17000","17500","16900","148521","2553515450","425988044100","25132038"
"2021/02/26","16800","450","2.75","16000","17550","15650","425498","7102009600","422218238400","25132038"
"2021/02/25","16350","250","1.55","16550","16650","15950","277212","4540353500","410908821300","25132038"
"2021/02/24","16100","-950","-5.57","17100","17600","16050","423658","7068178700","404625811800","25132038"
"2021/02/23","17050","-1150","-6.32","17850","17950","17000","388874","6744192600","428501247900","25132038"
"2021/02/22","18200","-200","-1.09","18400","18600","17850","303255","5512083750","457403091600","25132038"
"2021/02/19","18400","-350","-1.87","18700","18900","17700","276247","5029586100","462429499200","25132038"
"2021/02/18","18750","-200","-1.06","18900","19250","18750","214202","4064970850","471225712500","25132038"
"2021/02/17","18950","-250","-1.30","19200","19300","18900","181168","3456894850","476252120100","25132038"
"2021/02/16","19200","-600","-3.03","19900","19950","19050","304221","5884935100","482535129600","25132038"
"2021/02/15","19800","0","0.00","20100","20100","19650","265912","5282907050","497614352400","25132038"
"2021/02/10","19800","-250","-1.25","20100","20250","19500","247875","4898799900","497614352400","25132038"
"2021/02/09","20050","450","2.30","19500","20200","19100","382102","7566390100","503897361900","25132038"
"2021/02/08","19600","600","3.16","19300","20300","19200","435292","8608317750","492587944800","25132038"
"2021/02/05","19000","-50","-0.26","19150","19200","18900","146577","2787227500","477508722000","25132038"
"2021/02/04","19050","50","0.26","19100","19700","18950","307671","5926637150","478765323900","25132038"
"2021/02/03","19000","-500","-2.56","19350","19650","18950","278268","5335637200","477508722000","25132038"
"2021/02/02","19500","-300","-1.52","19900","19950","19250","194054","3795811000","490074741000","25132038"
"2021/02/01","19800","800","4.21","19100","20000","18700","362494","7095288400","497614352400","25132038"
"2021/01/29","19000","-400","-2.06","19600","21050","18650","1020467","20421600600","477508722000","25132038"
"2021/01/28","19400","-350","-1.77","19300","19550","18850","274022","5250819800","487561537200","25132038"
"2021/01/27","19750","-50","-0.25","19800","19950","19550","164973","3250908900","496357750500","25132038"
"2021/01/26","19800","300","1.54","19700","20400","19500","583511","11643668300","497614352400","25132038"
"2021/01/25","19500","50","0.26","19650","19650","19050","357062","6916815250","490074741000","25132038"
"2021/01/22","19450","650","3.46","18850","19600","18550","336325","6428430850","488818139100","25132038"
"2021/01/21","18800","-50","-0.27","18950","19300","18700","265095","5028256950","472482314400","25132038"
"2021/01/20","18850","1100","6.20","17650","19400","17500","512786","9589266700","473738916300","25132038"
"2021/01/19","17750","50","0.28","17750","18000","17000","269594","4711549000","446093674500","25132038"
"2021/01/18","17700","-900","-4.84","18600","18800","17600","384895","6988592600","444837072600","25132038"
"2021/01/15","18600","-500","-2.62","19250","19250","18350","317024","5890546400","467455906800","25132038"
"2021/01/14","19100","550","2.96","19200","19350","18600","293732","5581521400","480021925800","25132038"
"2021/01/13","18550","-150","-0.80","18800","19150","18500","188019","3541415850","466199304900","25132038"
"2021/01/12","18700","450","2.47","18400","19450","18300","439589","8298813000","469969110600","25132038"
"2021/01/11","18250","-350","-1.88","18600","18650","17500","487236","8674223950","458659693500","25132038"
"2021/01/08","18600","-950","-4.86","19550","19550","18450","491493","9245168750","467455906800","25132038"
"2021/01/07","19550","-100","-0.51","19700","20200","19300","390720","7660524600","491331342900","25132038"
"2021/01/06","19650","-350","-1.75","20300","20550","19400","643182","12768996400","493844546700","25132038"
