일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/05/18","90200","-7100","-7.30","95500","96600","88600","908197","83592272400","875273018400","9703692"
"2021/05/17","97300","11600","13.54","88200","99600","85500","2587428","240490326200","944169231600","9703692"
"2021/05/14","85700","-3800","-4.25","92400","96100","85000","1110791","99266844600","831606404400","9703692"
"2021/05/13","89500","7000","8.48","80500","94800","80300","3060115","271205567300","868480434000","9703692"
"2021/05/12","82500","-300","-0.36","81100","86300","79500","1080261","89656620800","800554590000","9703692"
"2021/05/11","82800","400","0.49","82000","84900","79000","774711","63268141300","803465697600","9703692"
"2021/05/10","82400","10100","13.97","72500","90000","72500","3274468","274071310500","799584220800","9703692"
"2021/05/07","72300","6200","9.38","66100","78900","66100","1397882","102463117500","701576931600","9703692"
"2021/05/06","66100","-1800","-2.65","68300","69800","64600","335928","22330823900","641414041200","9703692"
"2021/05/04","67900","-4300","-5.96","72200","74000","65800","417579","28966446700","658880686800","9703692"
"2021/05/03","72200","-1700","-2.30","73100","75000","71400","254048","18519906700","700606562400","9703692"
"2021/04/30","73900","1300","1.79","71700","76400","71400","416540","30848393800","717102838800","9703692"
"2021/04/29","72600","-4500","-5.84","77600","79300","72200","412174","31234500100","704488039200","9703692"
"2021/04/28","77100","4500","6.20","70600","82700","69500","1558357","119618984700","748154653200","9703692"
"2021/04/27","72600","-8000","-9.93","78100","79500","70900","891697","66516745200","704488039200","9703692"
"2021/04/26","80600","-5000","-5.84","91100","97400","77000","1093359","95341330100","782117575200","9703692"
"2021/04/23","85600","1600","1.90","84000","90600","80700","1180584","102131717600","830636035200","9703692"
"2021/04/22","84000","13300","18.81","70100","91600","69900","1234506","97116029300","815110128000","9703692"
"2021/04/21","70700","3100","4.59","67700","72000","65100","498024","34565027500","686051024400","9703692"
"2021/04/20","67600","5900","9.56","60800","68400","59800","832110","54007458400","655969579200","9703692"
"2021/04/19","61700","-9600","-13.46","70900","75900","58400","1385437","90944249100","598717796400","9703692"
"2021/04/16","71300","2300","3.33","67500","73800","65100","453113","31492396900","691873239600","9703692"
"2021/04/15","69000","-19000","-21.59","81600","81600","68700","574393","41434009200","669554748000","9703692"
"2021/04/14","88000","-5500","-5.88","85100","91700","85100","218377","19322951000","853924896000","9703692"
"2021/04/13","93500","14200","17.91","82000","93500","82000","379825","33959793500","907295202000","9703692"
"2021/04/12","79300","-2300","-2.82","76000","80800","76000","238046","18540084800","769502775600","9703692"
"2021/04/09","81600","9000","12.40","75300","92300","75300","555151","45683086400","791821267200","9703692"
"2021/04/08","72600","16700","29.87","55800","72600","55100","1761512","120785573400","704488039200","9703692"
"2021/04/07","55900","4900","9.61","51100","56200","50400","925998","49871615700","542156882800","9698692"
"2021/04/06","51000","2100","4.29","48150","53200","45950","1048558","52995338000","494633292000","9698692"
"2021/04/05","48900","6300","14.79","45200","49000","44500","1204427","56696616100","474266038800","9698692"
"2021/04/02","42600","500","1.19","42500","44000","42100","312683","13452984100","413164279200","9698692"
"2021/04/01","42100","1850","4.60","40000","42750","40000","334660","13971997250","408314933200","9698692"
"2021/03/31","40250","2800","7.48","37550","40750","37450","322041","12833999750","390372353000","9698692"
"2021/03/30","37450","450","1.22","36900","37900","36900","38558","1443969000","363216015400","9698692"
"2021/03/29","37000","-750","-1.99","37800","38000","36800","95497","3554341600","358851604000","9698692"
"2021/03/26","37750","-1450","-3.70","39300","39350","37500","84365","3218253650","366125623000","9698692"
"2021/03/25","39200","-900","-2.24","40100","40600","38850","157129","6218884600","380188726400","9698692"
"2021/03/24","40100","1100","2.82","39600","40450","39050","150799","5999138650","388917549200","9698692"
"2021/03/23","39000","-150","-0.38","39200","39950","38650","86772","3407075100","378248988000","9698692"
"2021/03/22","39150","650","1.69","38850","39900","38750","119019","4682309700","379703791800","9698692"
"2021/03/19","38500","1150","3.08","36900","39400","36650","167621","6466238500","373399642000","9698692"
"2021/03/18","37350","-600","-1.58","38700","38700","37350","72010","2726462550","362246146200","9698692"
"2021/03/17","37950","850","2.29","37100","38450","37100","88846","3354368800","368065361400","9698692"
"2021/03/16","37100","900","2.49","36700","37500","36100","67299","2477834400","359821473200","9698692"
"2021/03/15","36200","-400","-1.09","36600","36800","36150","41364","1504968100","351092650400","9698692"
"2021/03/12","36600","900","2.52","36000","36650","35800","41706","1517281950","354972127200","9698692"
"2021/03/11","35700","150","0.42","35500","36150","35350","30471","1086474900","346243304400","9698692"
"2021/03/10","35550","-400","-1.11","36600","36600","35500","41821","1500227100","344788500600","9698692"
"2021/03/09","35950","-150","-0.42","35800","36700","35150","62389","2226221000","348667977400","9698692"
"2021/03/08","36100","-800","-2.17","37050","37600","36100","67289","2479614000","350122781200","9698692"
"2021/03/05","36900","950","2.64","35750","37100","35300","68462","2482347800","357881734800","9698692"
"2021/03/04","35950","-700","-1.91","35850","36600","35850","48699","1753599700","348667977400","9698692"
"2021/03/03","36650","-150","-0.41","36500","37200","36050","69587","2541991600","355457061800","9698692"
"2021/03/02","36800","800","2.22","36400","41300","36000","340551","13068951350","356911865600","9698692"
"2021/02/26","36000","-650","-1.77","35550","37400","35450","89696","3261054700","349152912000","9698692"
"2021/02/25","36650","900","2.52","36000","37000","36000","58724","2144233350","355457061800","9698692"
"2021/02/24","35750","-1150","-3.12","36350","37600","35750","74472","2711774400","346728239000","9698692"
"2021/02/23","36900","-1450","-3.78","37800","38000","36900","73233","2727616600","357881734800","9698692"
"2021/02/22","38350","-250","-0.65","39800","40000","38350","99722","3862190850","371944838200","9698692"
"2021/02/19","38600","900","2.39","37500","40700","36700","327509","12723274200","374369511200","9698692"
"2021/02/18","37700","250","0.67","37950","38350","37200","77580","2924355750","365640688400","9698692"
"2021/02/17","37450","400","1.08","36850","38200","36250","84670","3163994500","363216015400","9698692"
"2021/02/16","37050","-600","-1.59","37600","38000","36600","84653","3129910400","359336538600","9698692"
"2021/02/15","37650","1800","5.02","37050","39400","36250","213212","8115506650","365155753800","9698692"
"2021/02/10","35850","700","1.99","35150","36900","34900","82307","2946549450","347698108200","9698692"
"2021/02/09","35150","-1000","-2.77","35950","36150","35050","74515","2634325800","340909023800","9698692"
"2021/02/08","36150","-450","-1.23","36600","37100","35750","77529","2797479300","350607715800","9698692"
"2021/02/05","36600","-650","-1.74","37350","37550","36550","51014","1882170850","354972127200","9698692"
"2021/02/04","37250","-250","-0.67","37550","37550","36300","74069","2730579850","361276277000","9698692"
"2021/02/03","37500","550","1.49","37650","38750","36500","136758","5166095450","363700950000","9698692"
"2021/02/02","36950","1250","3.50","35750","37200","35400","101073","3684283600","358366669400","9698692"
"2021/02/01","35700","500","1.42","34800","36350","34200","90825","3232329850","346243304400","9698692"
"2021/01/29","35200","-2400","-6.38","37700","38250","34850","191085","6863331850","341393958400","9698692"
"2021/01/28","37600","-1650","-4.20","40600","41350","37600","264697","10464494100","364670819200","9698692"
"2021/01/27","39250","-500","-1.26","40000","41600","39150","266359","10773949250","380673661000","9698692"
"2021/01/26","39750","1750","4.61","38100","45000","36850","1188457","49335826700","385523007000","9698692"
"2021/01/25","38000","2300","6.44","36400","38150","35750","153387","5722093050","368550296000","9698692"
"2021/01/22","35700","-1750","-4.67","36800","36900","35500","100149","3602976100","346243304400","9698692"
"2021/01/21","37450","2850","8.24","34550","38950","34000","227278","8286715800","363216015400","9698692"
"2021/01/20","34600","500","1.47","33800","35550","33800","98529","3428905200","335574743200","9698692"
"2021/01/19","34100","250","0.74","33750","34850","32300","213877","7142225650","330725397200","9698692"
"2021/01/18","33850","-3300","-8.88","36350","37100","33600","218242","7569753950","328300724200","9698692"
"2021/01/15","37150","-750","-1.98","37850","38150","37100","85314","3208134100","360306407800","9698692"
"2021/01/14","37900","250","0.66","37650","38350","37500","109480","4136433800","367580426800","9698692"
"2021/01/13","37650","-1600","-4.08","38050","38950","37550","188224","7154613400","365155753800","9698692"
"2021/01/12","39250","-750","-1.88","39550","40300","38800","143013","5631081950","380673661000","9698692"
"2021/01/11","40000","-1000","-2.44","40950","41000","38850","228371","9046249200","387947680000","9698692"
"2021/01/08","41000","-700","-1.68","42050","42100","40550","170487","6984907500","397646372000","9698692"
"2021/01/07","41700","-1500","-3.47","43050","43150","41500","246173","10367930950","404435456400","9698692"
"2021/01/06","43200","-900","-2.04","45200","45400","43150","292482","12907031300","418983494400","9698692"
"2021/01/05","44100","300","0.68","43050","46400","42200","444210","19405331900","427712317200","9698692"
"2021/01/04","43800","3100","7.62","43150","43950","42050","516800","22321761700","424802709600","9698692"
"2020/12/30","40700","-1200","-2.86","42050","42050","40650","208870","8591892900","394736764400","9698692"
"2020/12/29","41900","2700","6.89","39300","42200","39200","323836","13179182350","406375194800","9698692"
"2020/12/28","39200","-2350","-5.66","41100","41550","39150","305497","12208085350","380188726400","9698692"
"2020/12/24","41550","-1100","-2.58","42200","42500","40800","230156","9534217400","402980652600","9698692"
"2020/12/23","42650","1450","3.52","42700","43650","41700","423380","18073689800","413649213800","9698692"
"2020/12/22","41200","-700","-1.67","43850","44450","40800","362323","15532043200","399586110400","9698692"
"2020/12/21","41900","2000","5.01","40000","41900","39100","317604","12986127100","406375194800","9698692"
"2020/12/18","39900","-850","-2.09","40750","41100","39700","161784","6479774250","386977810800","9698692"
"2020/12/17","40750","-1650","-3.89","42450","42800","40600","230406","9529876900","395221699000","9698692"
"2020/12/16","42400","-600","-1.40","43500","44850","42150","324113","14090125050","411224540800","9698692"
"2020/12/15","43000","-450","-1.04","43950","44050","42400","154670","6669020550","417043756000","9698692"
"2020/12/14","43450","-200","-0.46","44250","44650","43450","172655","7583300700","421408167400","9698692"
"2020/12/11","43650","250","0.58","43500","44100","43150","165353","7227070250","423347905800","9698692"
"2020/12/10","43400","1550","3.70","41850","43950","41250","278178","11887045250","420923232800","9698692"
"2020/12/09","41850","-400","-0.95","42250","43250","41500","236292","9992880100","405890260200","9698692"
"2020/12/08","42250","-3600","-7.85","45200","45500","41750","616674","26739953800","409769737000","9698692"
"2020/12/07","45850","-1050","-2.24","51500","52000","45800","846289","40889743850","444685028200","9698692"
"2020/12/04","46900","-1700","-3.50","48100","48250","46650","283055","13401571650","454868654800","9698692"
"2020/12/03","48600","-1050","-2.11","49300","49750","48450","224184","10940853450","471356431200","9698692"
"2020/12/02","49650","800","1.64","48850","50000","48400","375991","18546726750","481540057800","9698692"
"2020/12/01","48850","350","0.72","48650","49400","47950","421656","20559415100","473781104200","9698692"
"2020/11/30","48500","2400","5.21","46000","52300","45750","1800765","88339519250","470386562000","9698692"
"2020/11/27","46100","1950","4.42","43950","48300","43300","516256","23656497550","447109701200","9698692"
"2020/11/26","44150","1300","3.03","43150","44700","41150","262500","11410321900","428197251800","9698692"
"2020/11/25","42850","-4250","-9.02","47150","48000","42500","448524","19932720300","415588952200","9698692"
"2020/11/24","47100","400","0.86","46900","48150","46250","298909","14050875950","456808393200","9698692"
"2020/11/23","46700","1950","4.36","46950","48750","46300","533754","25207641350","452928916400","9698692"
"2020/11/20","44750","150","0.34","44800","45100","43900","242910","11083056900","434016467000","9698692"
"2020/11/19","44600","-500","-1.11","44400","45600","43800","236051","10537484450","432561663200","9698692"
"2020/11/18","45100","1500","3.44","43000","46700","42850","532250","24035131250","437411009200","9698692"
"2020/11/17","43600","600","1.40","42050","44800","41200","422328","18367986550","420682971200","9648692"
"2020/11/16","43000","1700","4.12","42000","44550","40650","490441","20876977350","414893756000","9648692"
"2020/11/13","41300","2600","6.72","39800","49700","38850","2084255","92953414550","398490979600","9648692"
"2020/11/12","38700","600","1.57","38150","39600","37500","251116","9678054200","373404380400","9648692"
"2020/11/11","38100","-5800","-13.21","43900","43950","38000","683532","27233291450","367615165200","9648692"
"2020/11/10","43900","-4450","-9.20","46300","46300","42550","419009","18455360350","423577578800","9648692"
"2020/11/09","48350","-50","-0.10","49100","49750","47800","207626","10093029150","466514258200","9648692"
"2020/11/06","48400","-600","-1.22","49000","49850","48250","214365","10497886750","466996692800","9648692"
"2020/11/05","49000","1500","3.16","47600","49650","47400","233790","11376061950","472785908000","9648692"
"2020/11/04","47500","1250","2.70","46300","49200","46250","237422","11296641750","458312870000","9648692"
"2020/11/03","46250","50","0.11","46300","47400","45900","169090","7862815250","446252005000","9648692"
"2020/11/02","46200","200","0.43","45500","47100","45350","116813","5399455050","445769570400","9648692"
"2020/10/30","46000","-1000","-2.13","46650","48800","45650","203979","9597647000","443839832000","9648692"
"2020/10/29","47000","450","0.97","45350","47100","45200","189952","8821066700","453488524000","9648692"
"2020/10/28","46550","3050","7.01","44300","46850","43500","187888","8566558250","449146612600","9648692"
"2020/10/27","43500","-700","-1.58","43700","45300","42450","239168","10486742500","419718102000","9648692"
"2020/10/26","44200","-900","-2.00","44100","47000","43900","182694","8233920000","426472186400","9648692"
"2020/10/23","45100","2000","4.64","44000","46450","43300","244067","10921769800","435156009200","9648692"
"2020/10/22","43100","-4250","-8.98","46900","47400","42850","413246","18574203900","415858625200","9648692"
