일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/05/18","272000","2500","0.93","265000","273500","263500","439224","118443630500","37513297248000","137916534"
"2021/05/17","269500","-1000","-0.37","274000","277000","269000","571257","155266247500","37111073846000","137703428"
"2021/05/14","270500","5500","2.08","265000","271500","261500","571387","152629437500","37248777274000","137703428"
"2021/05/13","265000","2500","0.95","260500","270500","260000","862168","228695444000","36491408420000","137703428"
"2021/05/12","262500","-8000","-2.96","270500","274500","261500","771734","205427713000","36147149850000","137703428"
"2021/05/11","270500","-4500","-1.64","273500","276500","266500","690113","187029524000","37248777274000","137703428"
"2021/05/10","275000","8500","3.19","276500","277500","269000","961271","263254703000","37868442700000","137703428"
"2021/05/07","266500","14000","5.54","253500","272000","253000","1301011","344056143000","36697963562000","137703428"
"2021/05/06","252500","-7500","-2.88","260000","261500","251000","1153094","292112897000","34770115570000","137703428"
"2021/05/04","260000","10500","4.21","245500","260500","244000","1828139","461214037588","35802891280000","137703428"
"2021/05/03","249500","-16500","-6.20","265000","268000","248500","1931130","493912849000","34357005286000","137703428"
"2021/04/30","266000","-2500","-0.93","270000","273000","265000","698855","187024700500","36629111848000","137703428"
"2021/04/29","268500","-1500","-0.56","270500","277000","264000","1036746","279980551000","36973370418000","137703428"
"2021/04/28","270000","-4000","-1.46","272500","282000","266000","1371738","374869337004","37179925560000","137703428"
"2021/04/27","274000","-11000","-3.86","285000","285500","273500","1344606","373664366000","37730739272000","137703428"
"2021/04/26","285000","-3000","-1.04","288000","288500","284000","716990","204420618500","39245476980000","137703428"
"2021/04/23","288000","0","0.00","288000","291000","285000","521531","150551391000","39658587264000","137703428"
"2021/04/22","288000","-2500","-0.86","292000","294500","287000","772035","224075103500","39658587264000","137703428"
"2021/04/21","290500","-9500","-3.17","295500","297500","290000","1004575","294123226000","39225555855500","135027731"
"2021/04/20","300000","-9500","-3.07","306500","308000","299500","1058058","319651791000","40508319300000","135027731"
"2021/04/19","309500","1500","0.49","308000","313500","305500","569414","176337884000","41791082744500","135027731"
"2021/04/16","308000","-1500","-0.48","310500","312000","306500","378139","116630229000","41588541148000","135027731"
"2021/04/15","309500","-5500","-1.75","314500","315000","309000","547071","169836140000","41791082744500","135027731"
"2021/04/14","315000","-1000","-0.32","317000","319000","313000","407935","128650552500","42533735265000","135027731"
"2021/04/13","316000","5500","1.77","312500","319000","309000","573517","180668333500","42668762996000","135027731"
"2021/04/12","310500","1000","0.32","309500","311000","306000","342305","105494432000","41926110475500","135027731"
"2021/04/09","309500","-2000","-0.64","312500","314500","309000","347094","108097241000","41791082744500","135027731"
"2021/04/08","311500","5500","1.80","306500","311500","303000","486544","149740428500","42061138206500","135027731"
"2021/04/07","306000","2500","0.82","304000","312000","303000","458016","140816964500","41318485686000","135027731"
"2021/04/06","303500","-4500","-1.46","309000","313000","302000","634988","194232999500","40980916358500","135027731"
"2021/04/05","308000","-12500","-3.90","318000","319000","307000","716852","222795976500","41588541148000","135027731"
"2021/04/02","320500","-4000","-1.23","324500","326000","318000","500451","160736794000","43276387785500","135027731"
"2021/04/01","324500","0","0.00","323500","327500","318000","528893","170639259000","43816498709500","135027731"
"2021/03/31","324500","1000","0.31","326500","330000","322500","529579","172092054000","43816498709500","135027731"
"2021/03/30","323500","-7000","-2.12","328500","329000","323000","614957","200248821000","43681470978500","135027731"
"2021/03/29","330500","16500","5.25","332500","334500","322000","1786627","589357250500","44626665095500","135027731"
"2021/03/26","314000","6500","2.11","311500","316500","304000","815381","253723646000","42398707534000","135027731"
"2021/03/25","307500","7500","2.50","301500","307500","299000","585517","177837141000","41521027282500","135027731"
"2021/03/24","300000","7500","2.56","294000","302000","292000","567246","168806302500","40508319300000","135027731"
"2021/03/23","292500","3500","1.21","294000","304000","291000","718171","213488461500","39495611317500","135027731"
"2021/03/22","289000","2000","0.70","290000","294500","286000","465736","135100902000","39023014259000","135027731"
"2021/03/19","287000","-5000","-1.71","288000","290500","284000","459008","131840452000","38752958797000","135027731"
"2021/03/18","292000","-1500","-0.51","295500","299500","292000","401776","118568184000","39428097452000","135027731"
"2021/03/17","293500","-3000","-1.01","296500","298000","291000","360539","105535021000","39630639048500","135027731"
"2021/03/16","296500","7500","2.60","290500","298000","289000","410799","120770080000","40035722241500","135027731"
"2021/03/15","289000","-8000","-2.69","296500","297000","289000","474511","137952892000","39023014259000","135027731"
"2021/03/12","297000","4000","1.37","296000","301000","293000","416941","123994258500","40103236107000","135027731"
"2021/03/11","293000","7500","2.63","285500","296500","284500","660641","192631301000","39563125183000","135027731"
"2021/03/10","285500","-2000","-0.70","291500","296500","284000","494901","143324917500","38550417200500","135027731"
"2021/03/09","287500","-3500","-1.20","288000","292000","280500","853291","244093079000","38820472662500","135027731"
"2021/03/08","291000","-10500","-3.48","304000","304000","290500","595881","176200359500","39293069721000","135027731"
"2021/03/05","301500","-5000","-1.63","305000","307000","300000","469774","141899423000","40710860896500","135027731"
"2021/03/04","306500","3500","1.16","303000","310000","297500","772420","235072512000","41385999551500","135027731"
"2021/03/03","303000","11500","3.95","292500","306000","290000","878080","263846018500","40913402493000","135027731"
"2021/03/02","291500","-6000","-2.02","302500","307000","288500","909178","270414434500","39360583586500","135027731"
"2021/02/26","297500","-10500","-3.41","300000","304000","292000","1062427","315901934500","40170749972500","135027731"
"2021/02/25","308000","26000","9.22","290500","309000","286500","1378139","412175937000","41588541148000","135027731"
"2021/02/24","282000","-14000","-4.73","292500","301000","282000","1494863","434431023500","38077820142000","135027731"
"2021/02/23","296000","-13500","-4.36","311000","312500","296000","1261921","380843045000","39968208376000","135027731"
"2021/02/22","309500","-9000","-2.83","322000","322500","308500","725100","228409619500","41791082744500","135027731"
"2021/02/19","318500","4000","1.27","310500","318500","306000","855583","267280901500","43006332323500","135027731"
"2021/02/18","314500","-7000","-2.18","320000","326500","314500","671084","214823393000","42456809672500","134997805"
"2021/02/17","321500","-3500","-1.08","324500","329000","315500","951224","305642340000","43401794307500","134997805"
"2021/02/16","325000","-8000","-2.40","335000","335500","324500","827534","270899740500","43874286625000","134997805"
"2021/02/15","333000","1000","0.30","340000","343500","333000","1188210","398058045000","44954269065000","134997805"
"2021/02/10","332000","4000","1.22","326500","332000","324500","734865","241770454000","44819271260000","134997805"
"2021/02/09","328000","-8000","-2.38","336000","337500","328000","984780","326081420000","44279280040000","134997805"
"2021/02/08","336000","-5500","-1.61","350000","351500","336000","784558","268352458500","45359262480000","134997805"
"2021/02/05","341500","0","0.00","347500","355000","335000","1997418","695534667500","46101750407500","134997805"
"2021/02/04","341500","-6000","-1.73","345000","349500","337500","1099579","376382058000","46101750407500","134997805"
"2021/02/03","347500","-8000","-2.25","357500","359500","338000","1922464","665452152500","46911737237500","134997805"
"2021/02/02","355500","-15500","-4.18","370000","370000","352500","2321590","836077616500","47991719677500","134997805"
"2021/02/01","371000","47000","14.51","334000","383000","333000","6018601","2190473307000","50084185655000","134997805"
"2021/01/29","324000","-10500","-3.14","334500","339000","322500","1076910","354697929000","43739288820000","134997805"
"2021/01/28","334500","5500","1.67","319500","338000","316000","1488920","492612597000","45156765772500","134997805"
"2021/01/27","329000","6500","2.02","326000","333000","318000","1013961","331238797000","44414277845000","134997805"
"2021/01/26","322500","1500","0.47","327500","335000","321500","1256043","412546931000","43536792112500","134997805"
"2021/01/25","321000","11000","3.55","311500","322000","311000","941127","299129221500","43334295405000","134997805"
"2021/01/22","310000","-2000","-0.64","312500","315500","308000","835242","259953411500","41849319550000","134997805"
"2021/01/21","312000","1000","0.32","314000","317500","306500","1083926","337528175000","42119315160000","134997805"
"2021/01/20","311000","-1500","-0.48","315500","324000","308000","1395424","439915057500","41984317355000","134997805"
"2021/01/19","312500","-1500","-0.48","308000","317000","296500","3300220","1018260869500","42186814062500","134997805"
"2021/01/18","314000","-15000","-4.56","327500","346000","314000","2601181","862910148000","42389310770000","134997805"
"2021/01/15","329000","-23500","-6.67","349000","349500","325500","3398281","1138174716500","44414277845000","134997805"
"2021/01/14","352500","-29000","-7.60","366000","374000","351000","3425555","1229693266000","47586726262500","134997805"
"2021/01/13","381500","-2500","-0.65","380000","390000","375000","2083610","798022757500","51501662607500","134997805"
"2021/01/12","384000","10000","2.67","380500","387000","370000","2475166","940013273000","51839157120000","134997805"
"2021/01/11","374000","7000","1.91","377000","386500","367000","2624781","985436089500","50489179070000","134997805"
"2021/01/08","367000","9500","2.66","359500","370000","356000","1719926","625841683500","49544194435000","134997805"
"2021/01/07","357500","4000","1.13","355000","359500","351000","956548","340784985500","48261715287500","134997805"
"2021/01/06","353500","-1000","-0.28","357000","359500","353500","977528","347794709500","47721724067500","134997805"
"2021/01/05","354500","7000","2.01","351500","356000","345000","1255776","441147447000","47856721872500","134997805"
"2021/01/04","347500","-11500","-3.20","351500","354500","343000","2006483","698238748000","46911737237500","134997805"
"2020/12/30","359000","-1500","-0.42","362500","365000","351000","2107841","751245634000","48464211995000","134997805"
"2020/12/29","360500","33000","10.08","360500","365000","347000","5725005","2043579093500","48666708702500","134997805"
"2020/12/28","333500","-14000","-4.03","349500","360000","324000","7295632","2493305878500","45021767967500","134997805"
"2020/12/24","347500","-7500","-2.11","355500","358000","343500","2076258","725488573500","46911737237500","134997805"
"2020/12/23","355000","-4000","-1.11","364000","366000","354000","1425317","513070300000","47924220775000","134997805"
