일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/05/18","131500","2500","1.94","130000","132000","128500","49799","6489836500","1502532018500","11426099"
"2021/05/17","129000","-1500","-1.15","130500","131500","129000","49203","6379045000","1473966771000","11426099"
"2021/05/14","130500","1500","1.16","129500","130500","128500","45614","5922424000","1491105919500","11426099"
"2021/05/13","129000","-2000","-1.53","128500","131000","128000","61750","7977100500","1473966771000","11426099"
"2021/05/12","131000","-3000","-2.24","133000","134000","130000","62434","8240556000","1496818969000","11426099"
"2021/05/11","134000","-3000","-2.19","137000","137000","133000","64701","8662303000","1531097266000","11426099"
"2021/05/10","137000","4500","3.40","133500","137500","133000","76876","10431734500","1565375563000","11426099"
"2021/05/07","132500","3000","2.32","130000","133000","130000","57604","7606642500","1513958117500","11426099"
"2021/05/06","129500","2000","1.57","126500","130500","126500","73246","9466953500","1479679820500","11426099"
"2021/05/04","127500","-3000","-2.30","128500","129000","125000","134147","16968872000","1456827622500","11426099"
"2021/05/03","130500","-8500","-6.12","138000","138000","129500","198109","26337282000","1491105919500","11426099"
"2021/04/30","139000","-1000","-0.71","140000","146000","138500","270555","38344569000","1588227761000","11426099"
"2021/04/29","140000","-6000","-4.11","143000","144000","139500","157437","22208218000","1599653860000","11426099"
"2021/04/28","146000","6500","4.66","139500","156000","137500","873035","128948741000","1668210454000","11426099"
"2021/04/27","139500","-3500","-2.45","141500","142500","138500","134876","18860046500","1593940810500","11426099"
"2021/04/26","143000","0","0.00","144000","144500","142500","82242","11799563500","1633932157000","11426099"
"2021/04/23","143000","500","0.35","142000","144500","140000","101158","14422113500","1633932157000","11426099"
"2021/04/22","142500","3000","2.15","139500","150500","138000","318785","45838225500","1628219107500","11426099"
"2021/04/21","139500","-9000","-6.06","148000","151500","135000","576461","81299515000","1593940810500","11426099"
"2021/04/20","148500","-2500","-1.66","149500","150000","147000","109559","16291659500","1696775701500","11426099"
"2021/04/19","151000","-1000","-0.66","153500","154000","149000","134391","20299880000","1725340949000","11426099"
