일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/05/18","156000","11000","7.59","145000","158000","145000","284230","44006887500","1807505700000","11586575"
"2021/05/17","145000","-2500","-1.69","147500","150000","141000","74317","10812813000","1680053375000","11586575"
"2021/05/14","147500","500","0.34","148000","151000","147000","43666","6496183000","1709019812500","11586575"
"2021/05/13","147000","-2000","-1.34","147000","152000","145500","80007","11883516000","1703226525000","11586575"
"2021/05/12","149000","-4000","-2.61","153000","154000","148000","74424","11143633000","1726399675000","11586575"
"2021/05/11","153000","2500","1.66","151000","156500","149000","182312","27819457000","1772745975000","11586575"
"2021/05/10","150500","7000","4.88","145000","151500","143500","163718","24399934000","1743779537500","11586575"
"2021/05/07","143500","7500","5.51","139500","153500","139500","336066","49199532500","1662673512500","11586575"
"2021/05/06","136000","2000","1.49","132000","137000","131000","60566","8146968500","1575774200000","11586575"
"2021/05/04","134000","7500","5.93","125500","135000","123500","102813","13342743500","1552601050000","11586575"
"2021/05/03","126500","-7000","-5.24","133500","133500","126500","62429","8038968500","1465701737500","11586575"
"2021/04/30","133500","-7000","-4.98","138000","139000","131500","125749","16880806000","1546807762500","11586575"
"2021/04/29","140500","-2500","-1.75","143000","145000","140500","82845","11854202500","1627913787500","11586575"
"2021/04/28","143000","3000","2.14","140000","146500","137500","129818","18376417500","1656880225000","11586575"
"2021/04/27","140000","-2500","-1.75","143000","143500","140000","42975","6062409500","1622120500000","11586575"
"2021/04/26","142500","500","0.35","142500","144500","141500","44820","6408863500","1651086937500","11586575"
"2021/04/23","142000","-3500","-2.41","145000","146000","142000","56834","8170424000","1645293650000","11586575"
"2021/04/22","145500","2500","1.75","145000","146000","142000","86037","12423665500","1685846662500","11586575"
"2021/04/21","143000","4000","2.88","138000","143500","137500","95626","13501043000","1656880225000","11586575"
"2021/04/20","139000","-1500","-1.07","140500","142000","137500","41714","5796381500","1610533925000","11586575"
"2021/04/19","140500","500","0.36","141500","143000","140000","53358","7511032000","1627913787500","11586575"
"2021/04/16","140000","1000","0.72","138500","142000","138000","70333","9869764500","1622120500000","11586575"
"2021/04/15","139000","0","0.00","139000","142500","137500","100720","14107112000","1610533925000","11586575"
"2021/04/14","139000","2500","1.83","137000","148500","135000","386416","54694306000","1610533925000","11586575"
"2021/04/13","136500","2000","1.49","134500","137500","133000","76130","10323050500","1581567487500","11586575"
"2021/04/12","134500","3500","2.67","132000","135000","130500","78774","10468473000","1558394337500","11586575"
