일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/05/18","44600","-10400","-18.91","54800","54800","44350","6853599","323094001350","1564478443200","35077992"
"2021/05/17","55000","-1200","-2.14","56400","58000","54500","1627384","91297211000","1929289560000","35077992"
"2021/05/14","56200","900","1.63","57700","58000","54500","2156770","121636638900","1971383150400","35077992"
"2021/05/13","55300","-200","-0.36","56000","61500","53200","5352517","309354258300","1939812957600","35077992"
"2021/05/12","55500","8000","16.84","46200","59300","45900","10861770","587207759500","1946828556000","35077992"
"2021/05/11","47500","1400","3.04","46300","48050","44500","4624696","215998428200","1666204620000","35077992"
"2021/05/10","46100","8100","21.32","38000","49400","37650","11656023","526914305250","1617095431200","35077992"
"2021/05/07","38000","350","0.93","36700","39900","35300","5673425","214974972350","1332963696000","35077992"
"2021/05/06","37650","6800","22.04","30700","38200","30350","6159707","213517459350","1320686398800","35077992"
"2021/05/04","30850","400","1.31","30900","31250","30300","663814","20423355000","1082156053200","35077992"
"2021/05/03","30450","100","0.33","29900","31600","29500","1001011","30591763400","1068124856400","35077992"
"2021/04/30","30350","-1700","-5.30","31800","32050","29750","1137756","35066511550","1064617057200","35077992"
"2021/04/29","32050","-1000","-3.03","31950","33300","31150","1845888","58829240350","1124249643600","35077992"
"2021/04/28","33050","3000","9.98","30400","33400","29800","4360038","137819736900","1159327635600","35077992"
"2021/04/27","30050","1050","3.62","29650","31000","29650","1690607","51292257850","1054093659600","35077992"
"2021/04/26","29000","-1400","-4.61","29900","30400","28500","1148207","33816453650","1014405268000","34979492"
"2021/04/23","30400","850","2.88","29750","31500","29750","2084488","63812717200","1063376556800","34979492"
"2021/04/22","29550","100","0.34","29750","30400","29450","904405","26991307200","1033643988600","34979492"
"2021/04/21","29450","850","2.97","28200","30700","28200","1825052","53969149950","1030146039400","34979492"
"2021/04/20","28600","-950","-3.21","29100","29900","28050","1174485","33636315800","1000413471200","34979492"
"2021/04/19","29550","-200","-0.67","30500","32400","29500","2601179","79742074200","1033643988600","34979492"
"2021/04/16","29750","-150","-0.50","30200","31700","29450","2098831","63499211850","1040639887000","34979492"
"2021/04/15","29900","2200","7.94","26900","30450","25450","4596513","129673853250","1045886810800","34979492"
"2021/04/14","27700","-2700","-8.88","31000","31050","27400","2408611","70171682350","968931928400","34979492"
"2021/04/13","30400","3500","13.01","27900","34250","27200","10122879","311932325550","1063376556800","34979492"
"2021/04/12","26900","1550","6.11","25900","27400","25800","1799104","48119078100","940948334800","34979492"
"2021/04/09","25350","400","1.60","25100","26500","24500","2009609","51445397300","886730122200","34979492"
"2021/04/08","24950","2450","10.89","22550","25200","22100","2749824","66643032750","872738325400","34979492"
"2021/04/07","22500","0","0.00","22600","23150","22250","591188","13390597350","787038570000","34979492"
"2021/04/06","22500","400","1.81","21900","22750","21750","556869","12422458500","787038570000","34979492"
"2021/04/05","22100","-50","-0.23","22400","22500","21150","619753","13507446350","773046773200","34979492"
"2021/04/02","22150","100","0.45","22250","22500","21800","583834","12936783000","774795747800","34979492"
"2021/04/01","22050","1600","7.82","20700","22500","20700","1631510","35528356500","771297798600","34979492"
"2021/03/31","20450","850","4.34","19700","20850","19450","611362","12478949300","715330611400","34979492"
"2021/03/30","19600","100","0.51","19750","19800","19300","197605","3859814200","685598043200","34979492"
"2021/03/29","19500","100","0.52","19400","19700","19050","202260","3919989150","682100094000","34979492"
"2021/03/26","19400","-100","-0.51","19700","19700","19000","169154","3260225350","678602144800","34979492"
"2021/03/25","19500","-500","-2.50","19950","20000","19150","231163","4504163150","682100094000","34979492"
"2021/03/24","20000","50","0.25","19850","20200","19800","223984","4480079950","699589840000","34979492"
"2021/03/23","19950","-250","-1.24","20350","20650","19850","351538","7059460200","697840865400","34979492"
"2021/03/22","20200","-50","-0.25","20150","20800","20150","340936","6965785150","706585738400","34979492"
"2021/03/19","20250","800","4.11","19450","20600","19150","505407","10098519300","708334713000","34979492"
"2021/03/18","19450","-650","-3.23","20000","20200","19300","392826","7783903250","680351119400","34979492"
"2021/03/17","20100","350","1.77","19750","20150","19700","416692","8314890450","703087789200","34979492"
"2021/03/16","19750","800","4.22","18750","19800","18750","566923","11114466650","690844967000","34979492"
"2021/03/15","18950","250","1.34","19000","19500","18700","290729","5545423850","662861373400","34979492"
"2021/03/12","18700","400","2.19","18350","19050","18300","243103","4554192500","654116500400","34979492"
"2021/03/11","18300","700","3.98","17550","18500","17500","239293","4311193850","640124703600","34979492"
"2021/03/10","17600","50","0.28","17700","18050","17600","173046","3082432400","615639059200","34979492"
"2021/03/09","17550","-300","-1.68","17800","17950","17050","339935","5924340700","613890084600","34979492"
"2021/03/08","17850","-1000","-5.31","18950","19150","17800","352141","6400037350","624383932200","34979492"
"2021/03/05","18850","-750","-3.83","19350","19400","18550","277240","5242748800","659363424200","34979492"
"2021/03/04","19600","50","0.26","19150","19850","19150","184565","3600507700","685598043200","34979492"
"2021/03/03","19550","-300","-1.51","19550","19800","19300","240011","4690300700","683849068600","34979492"
"2021/03/02","19850","1350","7.30","19500","20250","19000","921446","18100316200","692080016200","34865492"
"2021/02/26","18500","500","2.78","17500","19400","17500","923149","17111203350","645011602000","34865492"
"2021/02/25","18000","300","1.69","18000","19250","17850","859853","15864161750","627578856000","34865492"
"2021/02/24","17700","-300","-1.67","17850","18850","17700","336436","6104043700","617119208400","34865492"
"2021/02/23","18000","-150","-0.83","17850","19000","17500","570918","10347738200","627578856000","34865492"
"2021/02/22","18150","-900","-4.72","19050","19050","17950","579149","10736878450","632808679800","34865492"
"2021/02/19","19050","1750","10.12","17300","20200","17300","1568596","29481090000","664187622600","34865492"
"2021/02/18","17300","-650","-3.62","17850","18050","17300","685456","12032441150","603173011600","34865492"
"2021/02/17","17950","-950","-5.03","18800","18900","17900","807136","14659420500","625835581400","34865492"
"2021/02/16","18900","-800","-4.06","19700","19700","18650","564780","10752841800","658957798800","34865492"
"2021/02/15","19700","150","0.77","19300","19950","19200","352829","6910960900","686850192400","34865492"
"2021/02/10","19550","200","1.03","19150","19650","18800","335739","6417603300","681620368600","34865492"
"2021/02/09","19350","-500","-2.52","19850","19850","19250","337436","6573343200","674647270200","34865492"
"2021/02/08","19850","-450","-2.22","20300","20300","19800","248267","4948279700","692080016200","34865492"
"2021/02/05","20300","250","1.25","20200","20350","19550","505628","10044075500","707769487600","34865492"
"2021/02/04","20050","-700","-3.37","20950","21000","19650","566298","11375777650","699053114600","34865492"
"2021/02/03","20750","-600","-2.81","21500","22050","20550","644114","13716964050","723458959000","34865492"
"2021/02/02","21350","1600","8.10","19950","21600","19850","864388","18076690600","744378254200","34865492"
"2021/02/01","19750","750","3.95","18900","20100","18600","610246","11903733750","688593467000","34865492"
"2021/01/29","19000","-1000","-5.00","20300","20550","18700","1011992","19710861250","662444348000","34865492"
"2021/01/28","20000","-2050","-9.30","21000","21500","19450","1676655","34395428750","697309840000","34865492"
"2021/01/27","22050","50","0.23","22900","23200","22000","1208687","27243581550","768784098600","34865492"
"2021/01/26","22000","600","2.80","21300","22700","20300","2606236","56600196000","767040824000","34865492"
"2021/01/25","21400","250","1.18","21100","22200","20200","1174490","25091523350","746121528800","34865492"
