일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/05/18","21950","250","1.15","21800","22100","21250","62618","1352238100","141951484100","6467038"
"2021/05/17","21700","-750","-3.34","22500","22600","21450","89390","1959916250","140334724600","6467038"
"2021/05/14","22450","150","0.67","22500","22650","21700","75327","1671565450","145185003100","6467038"
"2021/05/13","22300","-1050","-4.50","22650","23650","21950","120638","2741481300","144214947400","6467038"
"2021/05/12","23350","-350","-1.48","23550","24100","22450","220544","5156506500","151005337300","6467038"
"2021/05/11","23700","1950","8.97","21450","24200","21200","508618","11793807900","153268800600","6467038"
"2021/05/10","21750","550","2.59","22000","22450","21650","192623","4233300500","140658076500","6467038"
"2021/05/07","21200","1200","6.00","20050","21400","19950","87767","1825357750","137101205600","6467038"
"2021/05/06","20000","-100","-0.50","20200","20450","19750","21821","437851550","129340760000","6467038"
"2021/05/04","20100","100","0.50","19750","20600","19350","53612","1064073850","129987463800","6467038"
"2021/05/03","20000","-400","-1.96","20150","20850","19850","52104","1055582550","129340760000","6467038"
"2021/04/30","20400","-250","-1.21","20650","21050","20150","54453","1115061850","131927575200","6467038"
"2021/04/29","20650","-300","-1.43","20900","21100","20400","53217","1097826700","133544334700","6467038"
"2021/04/28","20950","-350","-1.64","21650","21650","20600","65348","1364300900","135484446100","6467038"
"2021/04/27","21300","-600","-2.74","22100","22100","21200","62480","1338611200","137747909400","6467038"
"2021/04/26","21900","150","0.69","21800","22900","21300","164185","3639424100","141628132200","6467038"
"2021/04/23","21750","650","3.08","21050","22500","20400","130187","2835856000","140658076500","6467038"
"2021/04/22","21100","-1000","-4.52","22100","22350","20900","119267","2562511800","136454501800","6467038"
"2021/04/21","22100","700","3.27","21550","22500","21050","191556","4201840100","142921539800","6467038"
"2021/04/20","21400","1250","6.20","20500","22100","20500","375105","8023116300","138394613200","6467038"
"2021/04/19","20150","800","4.13","19350","20450","19350","103745","2084787050","130310815700","6467038"
"2021/04/16","19350","-50","-0.26","19650","19650","19200","64114","1245718800","125137185300","6467038"
"2021/04/15","19400","-850","-4.20","20300","20350","18550","391622","7494971650","125460537200","6467038"
"2021/04/14","20250","150","0.75","20100","20800","19950","96580","1965011900","130957519500","6467038"
"2021/04/13","20100","200","1.01","19750","20600","19650","78616","1580649750","129987463800","6467038"
"2021/04/12","19900","200","1.02","19900","21300","19200","154842","3101424700","128694056200","6467038"
"2021/04/09","19700","-250","-1.25","19950","20100","19350","63168","1244764400","127400648600","6467038"
"2021/04/08","19950","750","3.91","19200","20200","19050","118023","2327387450","129017408100","6467038"
"2021/04/07","19200","-250","-1.29","19550","19700","19150","38348","743799850","124167129600","6467038"
"2021/04/06","19450","750","4.01","18700","19450","18650","62319","1186375850","125783889100","6467038"
"2021/04/05","18700","-250","-1.32","18950","19050","18350","99983","1857460200","120933610600","6467038"
"2021/04/02","18950","-450","-2.32","19400","19400","18950","47430","905587350","122550370100","6467038"
"2021/04/01","19400","-100","-0.51","19500","19750","18950","59118","1133286850","125460537200","6467038"
"2021/03/31","19500","350","1.83","19000","20400","18600","122512","2340267400","126107241000","6467038"
"2021/03/30","19150","-100","-0.52","19300","19500","18950","31365","601638150","123843777700","6467038"
"2021/03/29","19250","-650","-3.27","19900","19950","18950","72529","1400228100","124490481500","6467038"
"2021/03/26","19900","-200","-1.00","20250","20250","19400","65759","1295767050","128694056200","6467038"
"2021/03/25","20100","-400","-1.95","20400","20650","19600","60556","1210040250","129987463800","6467038"
"2021/03/24","20500","-350","-1.68","21100","21250","20450","80141","1666016650","132574279000","6467038"
"2021/03/23","20850","350","1.71","20550","21350","19900","127103","2637687500","134837742300","6467038"
"2021/03/22","20500","650","3.27","19950","21350","19650","169861","3522797650","132574279000","6467038"
"2021/03/19","19850","250","1.28","19250","19950","19100","53204","1042766700","128370704300","6467038"
"2021/03/18","19600","300","1.55","19400","19800","18750","78681","1523467550","126715038800","6465053"
"2021/03/17","19300","-100","-0.52","19750","19750","18900","40470","774257050","124775522900","6465053"
"2021/03/16","19400","-100","-0.51","19500","19900","19250","52461","1026625250","125422028200","6465053"
"2021/03/15","19500","400","2.09","19000","19750","19000","48705","941935300","126068533500","6465053"
"2021/03/12","19100","50","0.26","19000","19550","18800","48467","928616150","123482512300","6465053"
"2021/03/11","19050","250","1.33","18650","19650","18650","78089","1488523200","123159259650","6465053"
"2021/03/10","18800","-150","-0.79","19300","19950","18750","88743","1722069100","121542996400","6465053"
"2021/03/09","18950","-450","-2.32","19500","19600","18200","139703","2617710600","122512754350","6465053"
"2021/03/08","19400","-1400","-6.73","20700","20900","19350","161945","3215684350","125422028200","6465053"
"2021/03/05","20800","-500","-2.35","20750","21000","20000","136900","2793636000","134473102400","6465053"
"2021/03/04","21300","-1400","-6.17","22300","22300","20800","175641","3780959850","137705628900","6465053"
"2021/03/03","22700","1050","4.85","21550","22800","21250","132215","2929889350","146756703100","6465053"
"2021/03/02","21650","100","0.46","21850","23600","21400","238422","5335585150","139968397450","6465053"
"2021/02/26","21550","-550","-2.49","21400","21850","20550","205055","4338841550","139321892150","6465053"
"2021/02/25","22100","3300","17.55","19600","22550","19600","767411","16405271000","142877671300","6465053"
"2021/02/24","18800","-450","-2.34","19600","20700","18550","119717","2324608600","121542996400","6465053"
"2021/02/23","19250","-750","-3.75","20000","20000","18900","134731","2598498600","124452270250","6465053"
"2021/02/22","20000","-1050","-4.99","21200","21700","19900","106066","2178471500","128377980000","6418899"
"2021/02/19","21050","-750","-3.44","21600","21700","20300","201493","4206156050","135117823950","6418899"
"2021/02/18","21800","100","0.46","21600","24300","20850","566032","12806010800","139931998200","6418899"
"2021/02/17","21700","1650","8.23","20050","21950","19700","326673","6871910450","139290108300","6418899"
"2021/02/16","20050","-800","-3.84","20850","21150","19850","178868","3615432800","128698924950","6418899"
"2021/02/15","20850","150","0.72","20750","21100","20250","177007","3671351100","133834044150","6418899"
"2021/02/10","20700","800","4.02","19900","21400","19300","227970","4649804500","132871209300","6418899"
"2021/02/09","19900","0","0.00","19800","20700","19500","188560","3772370250","127736090100","6418899"
"2021/02/08","19900","1250","6.70","18700","20400","18450","340910","6708293800","127736090100","6418899"
"2021/02/05","18650","50","0.27","19000","19550","18600","158727","3008715350","119712466350","6418899"
"2021/02/04","18600","-150","-0.80","18800","19450","18200","195068","3645826800","119019521400","6398899"
"2021/02/03","18750","1150","6.53","17500","19300","17500","435598","8080749750","119979356250","6398899"
"2021/02/02","17600","150","0.86","17550","18100","17150","199510","3517338400","112620622400","6398899"
"2021/02/01","17450","-300","-1.69","17700","18450","17050","331333","5842392350","111660787550","6398899"
"2021/01/29","17750","-3250","-15.48","20450","20700","17600","886692","16804820050","113580457250","6398899"
"2021/01/28","21000","2950","16.34","17550","22600","16950","3995017","81464402250","134376879000","6398899"
"2021/01/27","18050","2600","16.83","15500","20050","15150","3104119","57682185000","115500126950","6398899"
"2021/01/26","15450","-300","-1.90","15850","15850","15450","38437","598497500","98862989550","6398899"
"2021/01/25","15750","0","0.00","15750","15850","15600","31493","495880550","100782659250","6398899"
"2021/01/22","15750","0","0.00","15750","15800","15450","30533","475202900","100782659250","6398899"
"2021/01/21","15750","-150","-0.94","16050","16100","15650","29541","467180050","100782659250","6398899"
"2021/01/20","15900","350","2.25","15500","15950","15400","44628","702313900","101742494100","6398899"
"2021/01/19","15550","50","0.32","15300","15600","15250","39121","602930550","99502879450","6398899"
"2021/01/18","15500","-400","-2.52","15900","15950","15200","52416","814699150","99182934500","6398899"
"2021/01/15","15900","-300","-1.85","16250","16400","15750","45619","726527550","101742494100","6398899"
"2021/01/14","16200","100","0.62","16050","16350","16050","26483","429074300","103662163800","6398899"
"2021/01/13","16100","-100","-0.62","16150","16350","16000","32032","517053800","103022273900","6398899"
"2021/01/12","16200","-100","-0.61","16100","16450","15900","36945","595993100","103662163800","6398899"
"2021/01/11","16300","-450","-2.69","16750","17100","15550","135773","2186001200","104302053700","6398899"
"2021/01/08","16750","-450","-2.62","17400","17550","16550","96857","1633982100","107181558250","6398899"
"2021/01/07","17200","900","5.52","16300","17500","16150","244690","4189458600","110061062800","6398899"
"2021/01/06","16300","-300","-1.81","16600","16650","16150","58797","959241600","104302053700","6398899"
"2021/01/05","16600","300","1.84","16200","16700","16000","54020","885941700","106221723400","6398899"
"2021/01/04","16300","-200","-1.21","16500","16850","15250","101907","1638011100","104302053700","6398899"
"2020/12/30","16500","700","4.43","15850","16500","15400","95886","1513501950","105581833500","6398899"
"2020/12/29","15800","700","4.64","15150","15850","15150","60072","932580450","101102604200","6398899"
"2020/12/28","15100","-850","-5.33","15900","16200","15000","121782","1886862550","96623374900","6398899"
"2020/12/24","15950","-400","-2.45","16500","16500","15800","82315","1316223200","102062439050","6398899"
"2020/12/23","16350","-600","-3.54","17150","17300","16250","77620","1289487900","104621998650","6398899"
"2020/12/22","16950","-450","-2.59","17400","17550","16900","92179","1579816900","108461338050","6398899"
"2020/12/21","17400","-150","-0.85","17450","17700","17300","63056","1099710950","111340842600","6398899"
"2020/12/18","17550","-50","-0.28","17800","17850","17500","83314","1467026500","112300677450","6398899"
"2020/12/17","17600","50","0.28","17500","17700","17300","78569","1373429950","112620622400","6398899"
"2020/12/16","17550","0","0.00","17600","17800","17450","80554","1418212850","112300677450","6398899"
"2020/12/15","17550","-500","-2.77","18150","18200","17200","158585","2794951550","112300677450","6398899"
"2020/12/14","18050","300","1.69","17800","18700","17500","205802","3718136950","115500126950","6398899"
"2020/12/11","17750","-400","-2.20","18000","18200","17500","160855","2850364750","113580457250","6398899"
"2020/12/10","18150","-1300","-6.68","19550","19700","18000","361106","6696931900","116140016850","6398899"
"2020/12/09","19450","-100","-0.51","19800","19850","19200","138569","2698377300","124458585550","6398899"
"2020/12/08","19550","-600","-2.98","20150","20300","19250","157810","3111115200","125098475450","6398899"
"2020/12/07","20150","150","0.75","20100","20550","19700","165645","3335099650","128937814850","6398899"
"2020/12/04","20000","-50","-0.25","20050","20650","19650","157366","3138398300","127977980000","6398899"
"2020/12/03","20050","650","3.35","19900","21000","19450","616943","12484699350","128297924950","6398899"
"2020/12/02","19400","-100","-0.51","19500","19650","19150","73876","1428338800","124096484400","6396726"
"2020/12/01","19500","400","2.09","19400","19700","19150","100871","1964425950","124736157000","6396726"
"2020/11/30","19100","0","0.00","19300","19950","19050","137634","2669446200","122177466600","6396726"
"2020/11/27","19100","-350","-1.80","19200","19400","18750","100746","1923464000","122177466600","6396726"
"2020/11/26","19450","700","3.73","18950","19500","18500","104908","1988118200","124416320700","6396726"
"2020/11/25","18750","-650","-3.35","19500","19500","18300","177682","3303637450","119938612500","6396726"
"2020/11/24","19400","100","0.52","19800","20250","19100","346817","6845373050","124096484400","6396726"
"2020/11/23","19300","950","5.18","19200","20050","18950","364688","7085216850","123456811800","6396726"
"2020/11/20","18350","550","3.09","17800","18400","17750","99316","1818620800","117379922100","6396726"
"2020/11/19","17800","250","1.42","17850","17900","17400","59250","1044911050","113861722800","6396726"
"2020/11/18","17550","-100","-0.57","17500","18000","17450","50773","901321250","112262541300","6396726"
"2020/11/17","17650","-350","-1.94","18200","18200","17350","72777","1286250900","112902213900","6396726"
"2020/11/16","18000","-150","-0.83","18150","18650","17600","79731","1438866200","115141068000","6396726"
"2020/11/13","18150","-200","-1.09","18350","18350","17750","68103","1223627750","116100576900","6396726"
"2020/11/12","18350","-100","-0.54","18250","18550","18250","41208","756587000","117379922100","6396726"
"2020/11/11","18450","-450","-2.38","18750","19000","18300","91588","1695231450","118019594700","6396726"
"2020/11/10","18900","0","0.00","18400","21000","17750","616176","12021305200","120898121400","6396726"
"2020/11/09","18900","100","0.53","19100","19500","18750","66386","1259841500","120898121400","6396726"
"2020/11/06","18800","750","4.16","18400","20050","18200","255042","4857528550","120258448800","6396726"
"2020/11/05","18050","100","0.56","18050","18450","17800","59493","1081744700","115460904300","6396726"
"2020/11/04","17950","50","0.28","17900","18150","17650","59027","1057236250","114821231700","6396726"
