일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/05/18","23000","-1350","-5.54","24000","24200","21750","8808515","201898825050","1039347184000","45189008"
"2021/05/17","24350","5000","25.84","21000","24700","20200","27367886","625349764500","1100352344800","45189008"
"2021/05/14","19350","250","1.31","19250","19450","18000","2897981","54561881250","874407304800","45189008"
"2021/05/13","19100","50","0.26","19250","19700","18250","2813157","53936873050","863110052800","45189008"
"2021/05/12","19050","400","2.14","18300","20450","17450","9706781","188235706050","860850602400","45189008"
"2021/05/11","18650","800","4.48","18250","18950","17900","3389017","62581840500","842774999200","45189008"
"2021/05/10","17850","1050","6.25","16950","18600","16900","4468855","80139324750","806623792800","45189008"
"2021/05/07","16800","1350","8.74","15750","18400","15650","4687900","80523427400","759175334400","45189008"
"2021/05/06","15450","-500","-3.13","15650","16150","15300","755329","11816065500","698170173600","45189008"
"2021/05/04","15950","250","1.59","15450","16150","15050","1292298","20173451900","720764677600","45189008"
"2021/05/03","15700","-1700","-9.77","17500","17750","15650","1724875","27883087250","709467425600","45189008"
"2021/04/30","17400","-1000","-5.43","18400","18450","17200","1321579","23350983650","786288739200","45189008"
"2021/04/29","18400","50","0.27","18800","19150","18350","1850535","34429571850","831477747200","45189008"
"2021/04/28","18350","400","2.23","18050","18550","17850","1468281","26709667000","829218296800","45189008"
"2021/04/27","17950","-500","-2.71","18800","18900","17900","1739984","31947284950","811142693600","45189008"
"2021/04/26","18450","-250","-1.34","17800","19550","17750","4322251","80923546150","833737197600","45189008"
"2021/04/23","18700","1150","6.55","17700","19500","17450","5596923","104776969400","845034449600","45189008"
"2021/04/22","17550","-500","-2.77","18300","18400","17500","1345010","24107855850","793067090400","45189008"
"2021/04/21","18050","250","1.40","18000","18750","17800","1929515","35210824150","815661594400","45189008"
"2021/04/20","17800","-200","-1.11","17850","18350","17700","1222043","21923110200","804364342400","45189008"
"2021/04/19","18000","-300","-1.64","17850","19000","17700","2257727","41580070800","813402144000","45189008"
"2021/04/16","18300","50","0.27","18450","19400","17350","4617074","84951589950","826958846400","45189008"
"2021/04/15","18250","-500","-2.67","18750","20150","17500","5268175","96833710050","824699396000","45189008"
"2021/04/14","18750","100","0.54","20000","22000","18350","18247137","366646332350","847293900000","45189008"
"2021/04/13","18650","4300","29.97","16700","18650","16600","10281569","184902690900","842774999200","45189008"
"2021/04/12","14350","750","5.51","13550","14400","13100","2536088","35396504150","648462264800","45189008"
"2021/04/09","13600","-200","-1.45","13850","14400","13450","1925399","26714042350","614570508800","45189008"
"2021/04/08","13800","1500","12.20","12350","15100","12050","6485087","90980287450","623608310400","45189008"
"2021/04/07","12300","1150","10.31","11100","12300","10900","1755736","20733583700","555824798400","45189008"
"2021/04/06","11150","-200","-1.76","11350","11400","11050","457135","5101523500","499196739200","44771008"
"2021/04/05","11350","-300","-2.58","11600","11600","11300","400452","4568309150","508150940800","44771008"
"2021/04/02","11650","250","2.19","11550","11850","11450","499288","5808825700","521582243200","44771008"
"2021/04/01","11400","-300","-2.56","11700","11750","11200","546210","6209435850","510389491200","44771008"
"2021/03/31","11700","-250","-2.09","12150","12250","11550","499305","5917637550","523820793600","44771008"
"2021/03/30","11950","400","3.46","11600","12000","11550","436927","5152642550","535013545600","44771008"
"2021/03/29","11550","-550","-4.55","12100","12200","11550","484212","5693443550","517105142400","44771008"
"2021/03/26","12100","200","1.68","11950","12200","11550","606286","7188608100","541729196800","44771008"
"2021/03/25","11900","-200","-1.65","11950","12200","11800","388580","4640441000","532774995200","44771008"
"2021/03/24","12100","-400","-3.20","12400","12500","12050","448643","5466591900","541729196800","44771008"
"2021/03/23","12500","-200","-1.57","12750","13000","12500","386355","4910577650","559637600000","44771008"
"2021/03/22","12700","-350","-2.68","13100","13100","12650","356227","4559805250","568591801600","44771008"
"2021/03/19","13050","150","1.16","12600","13200","12500","495384","6410224900","584261654400","44771008"
"2021/03/18","12900","-250","-1.90","13150","13150","12850","383612","4968814350","577546003200","44771008"
"2021/03/17","13150","200","1.54","12950","13500","12800","810836","10659950900","588738755200","44771008"
"2021/03/16","12950","100","0.78","12800","12950","12500","580485","7356780150","579784553600","44771008"
"2021/03/15","12850","-300","-2.28","13200","13700","12700","1216661","15866585650","575307452800","44771008"
"2021/03/12","13150","600","4.78","12650","13150","12550","594781","7698740450","588738755200","44771008"
"2021/03/11","12550","100","0.80","12200","12700","12100","442740","5509850000","561876150400","44771008"
"2021/03/10","12450","-200","-1.58","12800","13000","12400","514519","6529629350","557399049600","44771008"
"2021/03/09","12650","200","1.61","12600","12900","11700","1214364","14903752350","566353251200","44771008"
"2021/03/08","12450","-1350","-9.78","13850","13900","12400","1346018","17511605150","557399049600","44771008"
"2021/03/05","13800","-600","-4.17","14100","14300","13600","598264","8256352400","617839910400","44771008"
"2021/03/04","14400","100","0.70","14550","14950","14200","677065","9825975600","644702515200","44771008"
"2021/03/03","14300","-50","-0.35","14350","14600","14150","314694","4516051350","640225414400","44771008"
"2021/03/02","14350","250","1.77","14150","14800","14100","595011","8603459150","642463964800","44771008"
"2021/02/26","14100","-200","-1.40","13800","15150","13800","1219487","17569628750","631271212800","44771008"
"2021/02/25","14300","200","1.42","14400","14450","13700","959205","13528930500","640225414400","44771008"
"2021/02/24","14100","-600","-4.08","14500","15000","13850","1251123","17874316750","631271212800","44771008"
"2021/02/23","14700","-950","-6.07","15450","15500","14700","747536","11160285450","658133817600","44771008"
"2021/02/22","15650","100","0.64","15450","16950","15450","1246611","20024186900","700666275200","44771008"
"2021/02/19","15550","50","0.32","15350","15750","15100","727132","11194773100","696189174400","44771008"
"2021/02/18","15500","-400","-2.52","15900","16250","15450","874495","13785017550","693950624000","44771008"
"2021/02/17","15900","-550","-3.34","16300","16300","15700","806259","12827253800","711859027200","44771008"
"2021/02/16","16450","-650","-3.80","17400","17400","16350","955957","15990640350","736483081600","44771008"
"2021/02/15","17100","500","3.01","16700","17100","16050","860730","14358571800","765584236800","44771008"
"2021/02/10","16600","50","0.30","16500","16750","16200","452412","7416996350","743198732800","44771008"
"2021/02/09","16550","-100","-0.60","16550","16900","16000","846699","13883284600","740960182400","44771008"
"2021/02/08","16650","-700","-4.03","17400","17450","16600","672125","11298884450","745437283200","44771008"
"2021/02/05","17350","200","1.17","17150","17450","16850","490632","8430943150","776776988800","44771008"
