일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/05/18","107600","8800","8.91","98600","118200","98500","5657710","627383291300","2678092015600","24889331"
"2021/05/17","98800","2700","2.81","98700","102000","98500","548221","54756949700","2459065902800","24889331"
"2021/05/14","96100","-600","-0.62","97200","98700","96100","282719","27541534500","2391864709100","24889331"
"2021/05/13","96700","-800","-0.82","95600","103500","95500","447991","44056581700","2406798307700","24889331"
"2021/05/12","97500","-2000","-2.01","98700","100000","97000","364601","35680676300","2426709772500","24889331"
"2021/05/11","99500","-3500","-3.40","101000","101200","98300","486356","48381635700","2476488434500","24889331"
"2021/05/10","103000","2000","1.98","100600","106000","99500","572775","58722377700","2563601093000","24889331"
"2021/05/07","101000","900","0.90","100000","104500","99300","457620","46599000100","2513822431000","24889331"
"2021/05/06","100100","100","0.10","102400","103200","98200","519467","52079135400","2491422033100","24889331"
"2021/05/04","100000","1500","1.52","97000","101500","95600","673014","66451925600","2488933100000","24889331"
"2021/05/03","98500","-3500","-3.43","101100","103000","97000","597788","59225422500","2451599103500","24889331"
"2021/04/30","102000","-2000","-1.92","102600","106200","99900","728838","74567315800","2538711762000","24889331"
"2021/04/29","104000","-9600","-8.45","115000","116600","103800","1214368","131784112800","2588490424000","24889331"
"2021/04/28","113600","-7400","-6.12","121300","121500","113500","1051682","123026987600","2827428001600","24889331"
"2021/04/27","121000","8100","7.17","114900","131000","114000","5001143","622239394000","3009471344000","24871664"
"2021/04/26","112900","-5100","-4.32","116200","117100","112100","903322","103400788400","2808010865600","24871664"
"2021/04/23","118000","7600","6.88","108600","118300","108200","1436436","165645405100","2934856352000","24871664"
"2021/04/22","110400","-2700","-2.39","113500","114200","110400","518809","58282906200","2745831705600","24871664"
"2021/04/21","113100","1200","1.07","111900","117300","110100","921506","104847748500","2812985198400","24871664"
"2021/04/20","111900","400","0.36","112600","114000","109200","499268","55553759500","2783139201600","24871664"
"2021/04/19","111500","6800","6.49","106000","112500","105700","1205577","133013555100","2773190536000","24871664"
"2021/04/16","104700","500","0.48","103400","106800","103300","302455","31746500000","2604063220800","24871664"
"2021/04/15","104200","-1000","-0.95","105500","105500","100600","497668","51027423000","2591627388800","24871664"
"2021/04/14","105200","-800","-0.75","108000","109200","104800","626322","66778285400","2616499052800","24871664"
"2021/04/13","106000","6900","6.96","102000","107500","99700","1552815","162538677400","2636396384000","24871664"
"2021/04/12","99100","1400","1.43","98300","100100","97900","254289","25241347300","2464781902400","24871664"
"2021/04/09","97700","1200","1.24","97600","100800","96800","509591","50382103900","2429961572800","24871664"
"2021/04/08","96500","4100","4.44","93400","97800","92600","484490","46549120000","2400115576000","24871664"
"2021/04/07","92400","-1700","-1.81","92500","93800","91300","293448","27171154500","2298141753600","24871664"
"2021/04/06","94100","-1200","-1.26","95400","95800","94000","156911","14812933700","2331004172400","24771564"
"2021/04/05","95300","-1900","-1.95","96600","97000","95100","175332","16743015600","2360730049200","24771564"
"2021/04/02","97200","400","0.41","97900","98000","96700","127767","12418638100","2407796020800","24771564"
"2021/04/01","96800","1300","1.36","95500","98000","95500","193999","18780804800","2397887395200","24771564"
"2021/03/31","95500","-300","-0.31","96000","96200","94900","149470","14261038000","2365684362000","24771564"
"2021/03/30","95800","-600","-0.62","97000","97000","95800","139196","13374950500","2373115831200","24771564"
"2021/03/29","96400","-500","-0.52","97300","97600","96100","158118","15298824500","2386050769600","24751564"
"2021/03/26","96900","200","0.21","98000","99400","96300","189994","18479121600","2398426551600","24751564"
"2021/03/25","96700","-1000","-1.02","97800","97800","96200","171351","16560294700","2393476238800","24751564"
"2021/03/24","97700","-100","-0.10","98300","99100","97400","153844","15098393900","2418227802800","24751564"
"2021/03/23","97800","500","0.51","98900","100900","97500","364243","36108865200","2420702959200","24751564"
"2021/03/22","97300","-200","-0.21","97700","99000","97000","170638","16672306800","2408327177200","24751564"
"2021/03/19","97500","300","0.31","95800","98000","95800","184740","17932101900","2413277490000","24751564"
"2021/03/18","97200","100","0.10","99200","100500","97200","350447","34634993000","2405852020800","24751564"
"2021/03/17","97100","-900","-0.92","98000","98100","96400","248374","24094827000","2403376864400","24751564"
"2021/03/16","98000","-4700","-4.58","103200","104100","97500","565087","55914408600","2425653272000","24751564"
"2021/03/15","102700","3600","3.63","100100","104100","99400","334241","33886583000","2541985622800","24751564"
"2021/03/12","99100","2600","2.69","97400","99800","96800","242269","23874406800","2452879992400","24751564"
"2021/03/11","96500","1400","1.47","95100","99700","95100","266496","25804833100","2388525926000","24751564"
"2021/03/10","95100","-3700","-3.74","99700","100000","95100","257548","24974227600","2353873736400","24751564"
"2021/03/09","98800","3600","3.78","95600","100900","93100","555491","54247842300","2445454523200","24751564"
"2021/03/08","95200","-2500","-2.56","98600","100100","95100","295040","28695007600","2356348892800","24751564"
"2021/03/05","97700","-1800","-1.81","97500","98300","96200","221594","21541894800","2418227802800","24751564"
"2021/03/04","99500","-2900","-2.83","101200","101700","98200","288628","28770068000","2459876213000","24722374"
"2021/03/03","102400","-900","-0.87","103400","106500","101600","352010","36402635200","2531571097600","24722374"
"2021/03/02","103300","7100","7.38","99200","109100","98200","1416452","147107942600","2553821234200","24722374"
"2021/02/26","96200","-2800","-2.83","95900","97300","95100","368673","35437015100","2378292378800","24722374"
