일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/05/18","55000","1300","2.42","51600","56400","49850","429092","22825802600","554916835000","10089397"
"2021/05/17","53700","-8400","-13.53","60000","60400","53500","455469","25711485500","541800618900","10089397"
"2021/05/14","62100","-1900","-2.97","64900","65200","56000","554671","33072351900","626551553700","10089397"
"2021/05/13","64000","-9000","-12.33","71000","73000","64000","519985","35049895200","645721408000","10089397"
"2021/05/12","73000","-3200","-4.20","75200","76800","73000","139459","10413983000","736525981000","10089397"
"2021/05/11","76200","1500","2.01","74100","78500","73600","173973","13304174700","768812051400","10089397"
"2021/05/10","74700","1600","2.19","73300","75100","72500","104202","7672168400","753677955900","10089397"
"2021/05/07","73100","800","1.11","73000","75600","71700","150419","11087521400","737534920700","10089397"
"2021/05/06","72300","1100","1.54","70300","74900","69000","226461","16333882000","729463403100","10089397"
"2021/05/04","71200","7200","11.25","64000","71800","63500","255618","17303239500","718365066400","10089397"
"2021/05/03","64000","-1800","-2.74","65800","66300","61800","192127","12281803100","645721408000","10089397"
"2021/04/30","65800","2200","3.46","62900","66300","62800","176373","11402610300","663882322600","10089397"
"2021/04/29","63600","-1900","-2.90","66400","67500","63600","233412","15207653500","641685649200","10089397"
"2021/04/28","65500","4500","7.38","61200","66400","60000","302430","19114890300","660855503500","10089397"
"2021/04/27","61000","500","0.83","61500","61700","59800","165079","10014893000","614812717000","10078897"
"2021/04/26","60500","1600","2.72","57700","63400","57700","445225","26691991900","609773268500","10078897"
"2021/04/23","58900","800","1.38","56500","59900","56000","214657","12534046000","593647033300","10078897"
"2021/04/22","58100","-300","-0.51","58400","59000","57600","87489","5090854300","585583915700","10078897"
"2021/04/21","58400","500","0.86","57900","60000","56500","237271","13838555500","588607584800","10078897"
"2021/04/20","57900","700","1.22","56400","58100","54700","183969","10282488600","583568136300","10078897"
"2021/04/19","57200","-1200","-2.05","58400","58400","56300","160058","9170638100","576512908400","10078897"
"2021/04/16","58400","300","0.52","59100","61500","57700","263260","15548980900","588607584800","10078897"
"2021/04/15","58100","1800","3.20","56300","58300","54800","182701","10330512700","585583915700","10078897"
"2021/04/14","56300","-300","-0.53","56700","57700","55300","171045","9676183800","567441901100","10078897"
"2021/04/13","56600","1500","2.72","58500","59000","54500","420288","23740216500","570465570200","10078897"
"2021/04/12","55100","700","1.29","56000","59000","54600","381703","21429865000","555347224700","10078897"
"2021/04/09","54400","400","0.74","53900","56100","53100","112177","6140174200","548291996800","10078897"
"2021/04/08","54000","1100","2.08","52900","55000","51200","143981","7711015200","544260438000","10078897"
"2021/04/07","52900","-300","-0.56","54000","54800","52100","122359","6487187700","533173651300","10078897"
"2021/04/06","53200","3250","6.51","50600","54700","50500","295048","15555418800","536197320400","10078897"
"2021/04/05","49950","-4950","-9.02","54700","54700","49600","307057","15910693450","503440905150","10078897"
"2021/04/02","54900","1500","2.81","54500","59300","53200","512538","28391172100","553331445300","10078897"
"2021/04/01","53400","5100","10.56","49000","55500","48700","428648","22319163450","538213099800","10078897"
"2021/03/31","48300","300","0.63","48300","49700","47700","140000","6796100000","486810725100","10078897"
"2021/03/30","48000","-50","-0.10","47500","52700","46800","467054","23193227300","483787056000","10078897"
"2021/03/29","48050","50","0.10","48000","51300","46750","395910","19265804750","484291000850","10078897"
"2021/03/26","48000","8300","20.91","39750","49500","39700","936276","42348156550","483787056000","10078897"
"2021/03/25","39700","800","2.06","38250","40300","38250","168298","6625546300","400132210900","10078897"
"2021/03/24","38900","-600","-1.52","39500","39550","38300","102256","3964530500","392069093300","10078897"
"2021/03/23","39500","2700","7.34","37000","39800","36300","280786","10867235800","398116431500","10078897"
"2021/03/22","36800","600","1.66","36500","37150","35500","99643","3619065100","370903409600","10078897"
"2021/03/19","36200","1350","3.87","37950","41500","36150","521962","19954493250","364856071400","10078897"
"2021/03/18","34850","-150","-0.43","35000","35500","34300","92138","3305570650","351249560450","10078897"
"2021/03/17","35000","250","0.72","35000","35300","34200","54175","1883355500","352761395000","10078897"
"2021/03/16","34750","-250","-0.71","35250","35350","34250","59497","2068314800","350241670750","10078897"
"2021/03/15","35000","-900","-2.51","36200","36300","34950","63990","2263993650","352761395000","10078897"
"2021/03/12","35900","1200","3.46","35200","36000","34700","63551","2232503000","361832402300","10078897"
"2021/03/11","34700","-50","-0.14","34750","36500","34700","77070","2726692900","349737725900","10078897"
"2021/03/10","34750","-650","-1.84","35600","35900","34700","52316","1837801750","350241670750","10078897"
"2021/03/09","35400","-850","-2.34","36000","36150","34750","79214","2808333400","356792953800","10078897"
"2021/03/08","36250","650","1.83","35900","38200","35700","159008","5901585350","365360016250","10078897"
"2021/03/05","35600","250","0.71","35250","35950","34650","62407","2202536900","358808733200","10078897"
"2021/03/04","35350","50","0.14","35150","35950","34050","88225","3090214850","356289008950","10078897"
"2021/03/03","35300","2000","6.01","32750","35850","32750","156151","5424198000","355785064100","10078897"
"2021/03/02","33300","-300","-0.89","33700","34700","33300","80324","2712054050","335627270100","10078897"
"2021/02/26","33600","650","1.97","32550","34300","32000","125789","4185605000","338650939200","10078897"
"2021/02/25","32950","700","2.17","32350","33350","32050","45165","1474969850","332099656150","10078897"
"2021/02/24","32250","650","2.06","31700","33300","31450","103291","3367312900","325044428250","10078897"
"2021/02/23","31600","-1000","-3.07","32100","32600","31400","89811","2856453900","318493145200","10078897"
"2021/02/22","32600","600","1.88","31550","34100","30650","211223","6822580550","328572042200","10078897"
"2021/02/19","32000","-1000","-3.03","32650","33000","31750","92283","2964354200","322524704000","10078897"
"2021/02/18","33000","50","0.15","32900","33900","32650","103971","3459835000","332603601000","10078897"
"2021/02/17","32950","100","0.30","33500","33500","32400","77381","2552163500","332099656150","10078897"
"2021/02/16","32850","-1750","-5.06","34450","34450","32850","181253","6041030700","331091766450","10078897"
"2021/02/15","34600","-800","-2.26","35200","35200","34450","85990","2980891450","348729836200","10078897"
"2021/02/10","35400","200","0.57","35400","35800","34900","64218","2265373000","356792953800","10078897"
"2021/02/09","35200","-600","-1.68","35350","36300","34500","101920","3594676800","354777174400","10078897"
"2021/02/08","35800","-400","-1.10","35700","35900","34350","131447","4601727950","360824512600","10078897"
"2021/02/05","36200","600","1.69","35750","36400","35450","106497","3819508300","364856071400","10078897"
"2021/02/04","35600","300","0.85","35250","36750","34850","147817","5284655600","358808733200","10078897"
"2021/02/03","35300","1350","3.98","33950","36400","33500","219149","7694024350","355785064100","10078897"
"2021/02/02","33950","-1000","-2.86","34500","34550","33500","211711","7185190700","342178553150","10078897"
"2021/02/01","34950","-450","-1.27","35550","36350","33700","349441","12234321850","352257450150","10078897"
"2021/01/29","35400","4500","14.56","32200","40000","31850","2536949","94948967300","356792953800","10078897"
"2021/01/28","30900","-400","-1.28","30700","31200","29700","111206","3353906550","311437917300","10078897"
"2021/01/27","31300","-500","-1.57","31750","32100","30950","71236","2227323200","315469476100","10078897"
"2021/01/26","31800","-800","-2.45","32600","32650","31700","76454","2445243450","320508924600","10078897"
"2021/01/25","32600","-400","-1.21","33500","34000","32100","112013","3656812950","328572042200","10078897"
"2021/01/22","33000","1850","5.94","31200","33150","30900","115659","3703423250","332603601000","10078897"
"2021/01/21","31150","-250","-0.80","31400","32000","30500","93460","2913909000","313957641550","10078897"
"2021/01/20","31400","-400","-1.26","31700","32100","30850","81168","2567537550","316477365800","10078897"
"2021/01/19","31800","900","2.91","31200","32000","29500","198660","6086849600","320508924600","10078897"
"2021/01/18","30900","-2250","-6.79","32800","32800","30500","157116","4937430950","311437917300","10078897"
"2021/01/15","33150","-700","-2.07","33850","34000","32850","86806","2882782600","334115435550","10078897"
"2021/01/14","33850","150","0.45","33700","34250","33200","72684","2444387500","341170663450","10078897"
"2021/01/13","33700","-550","-1.61","34350","34500","33250","50207","1709321600","339658828900","10078897"
"2021/01/12","34250","-100","-0.29","34500","34750","33800","83012","2837308600","345202222250","10078897"
"2021/01/11","34350","-350","-1.01","34750","35150","32550","247213","8368469850","346210111950","10078897"
"2021/01/08","34700","300","0.87","34400","36000","33700","220335","7682358400","349737725900","10078897"
"2021/01/07","34400","1100","3.30","35500","35500","33800","325313","11273974550","346714056800","10078897"
"2021/01/06","33300","-200","-0.60","33000","33300","31200","412978","13296070350","335627270100","10078897"
"2021/01/05","33500","-2150","-6.03","34900","35050","33300","390659","13321832200","337643049500","10078897"
"2021/01/04","35650","-900","-2.46","36800","37100","35500","169633","6146237550","359312678050","10078897"
"2020/12/30","36550","-550","-1.48","36050","37550","36050","204274","7490266050","368383685350","10078897"
"2020/12/29","37100","1800","5.10","37300","38450","36050","284913","10592720050","373927078700","10078897"
"2020/12/28","35300","-150","-0.42","37400","39700","35300","547327","20435840600","355785064100","10078897"
"2020/12/24","35450","3450","10.78","31500","40650","30400","1539372","55817799550","357296898650","10078897"
"2020/12/23","32000","1400","4.58","30100","33000","29900","414906","13171201600","322524704000","10078897"
"2020/12/22","30600","-1450","-4.52","32900","32900","29400","546072","16990634650","308414248200","10078897"
"2020/12/21","32050","4900","18.05","27750","32050","27700","1026873","30712416800","323028648850","10078897"
"2020/12/18","27150","350","1.31","26850","27800","26150","201475","5448902950","273120773550","10059697"
"2020/12/17","26800","-900","-3.25","27900","28000","26650","169096","4616154800","269599879600","10059697"
"2020/12/16","27700","50","0.18","28600","28600","27650","183957","5170446600","278653606900","10059697"
"2020/12/15","27650","-1100","-3.83","29050","29050","27600","272358","7667574700","278150622050","10059697"
