일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/05/18","894000","20000","2.29","888000","917000","875000","399446","357485584000","59151510000000","66165000"
"2021/05/17","874000","-74000","-7.81","930000","932000","874000","546343","487861165000","57828210000000","66165000"
"2021/05/14","948000","82000","9.47","901000","948000","866000","1010588","921105771000","62724420000000","66165000"
"2021/05/13","866000","10000","1.17","844000","905000","843000","603585","529626535000","57298890000000","66165000"
"2021/05/12","856000","39000","4.77","838000","864000","827000","785496","667179701000","56637240000000","66165000"
"2021/05/11","817000","1000","0.12","815000","818000","801000","90692","73598723000","54056805000000","66165000"
"2021/05/10","816000","12000","1.49","806000","824000","804000","87358","71253125000","53990640000000","66165000"
"2021/05/07","804000","21000","2.68","785000","828000","785000","192884","157034346000","53196660000000","66165000"
"2021/05/06","783000","19000","2.49","760000","789000","752000","92941","72416509000","51807195000000","66165000"
"2021/05/04","764000","-9000","-1.16","767000","772000","745000","97400","72871960000","50550060000000","66165000"
"2021/05/03","773000","-31000","-3.86","804000","804000","767000","107110","83767943000","51145545000000","66165000"
"2021/04/30","804000","4000","0.50","795000","815000","794000","65795","53058150000","53196660000000","66165000"
"2021/04/29","800000","9000","1.14","795000","809000","795000","67566","54271510000","52932000000000","66165000"
"2021/04/28","791000","-16000","-1.98","804000","811000","791000","73974","58873560000","52336515000000","66165000"
"2021/04/27","807000","-12000","-1.47","819000","823000","807000","53297","43300726000","53395155000000","66165000"
"2021/04/26","819000","7000","0.86","810000","821000","805000","64069","52140606000","54189135000000","66165000"
"2021/04/23","812000","7000","0.87","805000","816000","795000","73481","59371488000","53725980000000","66165000"
"2021/04/22","805000","-28000","-3.36","821000","827000","804000","142543","115958909000","53262825000000","66165000"
"2021/04/21","833000","-4000","-0.48","830000","845000","820000","124866","103640137000","55115445000000","66165000"
"2021/04/20","837000","7000","0.84","835000","849000","830000","108759","91243324000","55380105000000","66165000"
"2021/04/19","830000","-1000","-0.12","837000","867000","822000","448937","382387407000","54916950000000","66165000"
"2021/04/16","831000","25000","3.10","815000","834000","796000","208728","170276762000","54983115000000","66165000"
"2021/04/15","806000","16000","2.03","790000","815000","782000","149649","119861370000","53328990000000","66165000"
"2021/04/14","790000","6000","0.77","784000","798000","784000","81368","64440555000","52270350000000","66165000"
"2021/04/13","784000","2000","0.26","784000","787000","776000","62975","49249691000","51873360000000","66165000"
"2021/04/12","782000","12000","1.56","771000","785000","766000","76799","59600596000","51741030000000","66165000"
"2021/04/09","770000","7000","0.92","763000","772000","758000","50421","38676851000","50947050000000","66165000"
"2021/04/08","763000","-2000","-0.26","760000","770000","757000","43788","33481828000","50483895000000","66165000"
"2021/04/07","765000","11000","1.46","754000","779000","745000","103587","79433978000","50616225000000","66165000"
"2021/04/06","754000","4000","0.53","746000","755000","743000","55193","41366700942","49888410000000","66165000"
"2021/04/05","750000","6000","0.81","741000","751000","726000","72103","53160382000","49623750000000","66165000"
"2021/04/02","744000","-3000","-0.40","748000","752000","740000","46372","34538453000","49226760000000","66165000"
"2021/04/01","747000","-1000","-0.13","744000","753000","742000","57031","42573334000","49425255000000","66165000"
"2021/03/31","748000","1000","0.13","749000","760000","744000","52596","39500085000","49491420000000","66165000"
"2021/03/30","747000","-1000","-0.13","751000","752000","741000","34703","25923692000","49425255000000","66165000"
"2021/03/29","748000","23000","3.17","726000","748000","721000","82903","61382447000","49491420000000","66165000"
"2021/03/26","725000","7000","0.97","720000","735000","718000","52111","37828612000","47969625000000","66165000"
"2021/03/25","718000","2000","0.28","713000","725000","710000","40360","28983568000","47506470000000","66165000"
"2021/03/24","716000","3000","0.42","705000","717000","705000","38877","27715205000","47374140000000","66165000"
"2021/03/23","713000","-2000","-0.28","719000","732000","712000","62167","44867262000","47175645000000","66165000"
"2021/03/22","715000","7000","0.99","715000","718000","706000","39471","28169591000","47307975000000","66165000"
"2021/03/19","708000","-14000","-1.94","707000","717000","705000","71381","50738123000","46844820000000","66165000"
"2021/03/18","722000","3000","0.42","729000","733000","722000","63699","46372891520","47771130000000","66165000"
"2021/03/17","719000","-14000","-1.91","734000","735000","714000","78695","56715876724","47572635000000","66165000"
"2021/03/16","733000","-2000","-0.27","750000","750000","733000","61599","45515499000","48498945000000","66165000"
"2021/03/15","735000","-8000","-1.08","740000","742000","724000","59610","43789049000","48631275000000","66165000"
"2021/03/12","743000","28000","3.92","725000","756000","724000","129033","96153300000","49160595000000","66165000"
"2021/03/11","715000","30000","4.38","685000","721000","685000","110454","78424749000","47307975000000","66165000"
"2021/03/10","685000","-2000","-0.29","699000","703000","685000","65475","45378249000","45323025000000","66165000"
"2021/03/09","687000","-9000","-1.29","686000","702000","679000","170456","117710583000","45455355000000","66165000"
"2021/03/08","696000","-23000","-3.20","723000","723000","695000","114589","80836297000","46050840000000","66165000"
"2021/03/05","719000","-29000","-3.88","735000","739000","713000","140641","101313959000","47572635000000","66165000"
"2021/03/04","748000","-13000","-1.71","750000","756000","747000","87883","65802205000","49491420000000","66165000"
"2021/03/03","761000","8000","1.06","751000","761000","748000","56621","42841591983","50351565000000","66165000"
"2021/03/02","753000","3000","0.40","757000","772000","748000","83482","63330864000","49822245000000","66165000"
"2021/02/26","750000","-25000","-3.23","763000","764000","750000","124989","94107831000","49623750000000","66165000"
"2021/02/25","775000","28000","3.75","754000","779000","748000","81593","62442309000","51277875000000","66165000"
"2021/02/24","747000","-13000","-1.71","757000","770000","745000","125104","94502208000","49425255000000","66165000"
"2021/02/23","760000","-20000","-2.56","773000","774000","755000","138304","105379004408","50285400000000","66165000"
"2021/02/22","780000","-13000","-1.64","793000","794000","779000","77046","60325473000","51608700000000","66165000"
"2021/02/19","793000","10000","1.28","785000","793000","779000","81612","63979182000","52468845000000","66165000"
"2021/02/18","783000","-3000","-0.38","784000","794000","783000","62888","49563903000","51807195000000","66165000"
"2021/02/17","786000","-10000","-1.26","793000","793000","778000","131486","103121756000","52005690000000","66165000"
"2021/02/16","796000","-4000","-0.50","801000","803000","794000","88743","70690538000","52667340000000","66165000"
"2021/02/15","800000","1000","0.13","804000","805000","799000","70396","56375877000","52932000000000","66165000"
"2021/02/10","799000","-3000","-0.37","806000","807000","795000","82470","65967619000","52865835000000","66165000"
"2021/02/09","802000","-2000","-0.25","805000","810000","802000","59434","47866528000","53064330000000","66165000"
