일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/05/18","80100","700","0.88","78800","81000","78800","350729","28090402800","2101345002000","26234020"
"2021/05/17","79400","-2600","-3.17","81700","81700","79300","424464","33941364200","2082981188000","26234020"
"2021/05/14","82000","3000","3.80","81000","84500","79900","811507","66796117000","2151189640000","26234020"
"2021/05/13","79000","-1000","-1.25","79200","80300","78100","512611","40508196000","2072487580000","26234020"
"2021/05/12","80000","-300","-0.37","79700","82200","79700","512973","41473361600","2098721600000","26234020"
"2021/05/11","80300","-3000","-3.60","81600","82500","79700","634274","51123267000","2106591806000","26234020"
"2021/05/10","83300","1200","1.46","82400","83600","81700","533759","44233811000","2185293866000","26234020"
"2021/05/07","82100","200","0.24","82500","83500","81700","564876","46557324800","2153813042000","26234020"
"2021/05/06","81900","-1500","-1.80","83400","83500","80500","630975","51615643100","2148566238000","26234020"
"2021/05/04","83400","-2700","-3.14","84000","84500","80800","1017097","84131722000","2187917268000","26234020"
"2021/05/03","86100","-7500","-8.01","93600","93700","85800","967702","85511706800","2258749122000","26234020"
"2021/04/30","93600","-3600","-3.70","98000","98400","92500","580778","54749518100","2455504272000","26234020"
"2021/04/29","97200","-700","-0.72","98900","103300","97200","753284","75142011400","2549946744000","26234020"
"2021/04/28","97900","-4600","-4.49","100100","101400","97200","769980","76229404800","2568310558000","26234020"
"2021/04/27","102500","-5700","-5.27","106700","107600","102500","644820","67443658100","2688987050000","26234020"
"2021/04/26","108200","700","0.65","107600","110500","103900","1215533","130719712500","2838520964000","26234020"
"2021/04/23","107500","9500","9.69","106000","116400","101600","3031296","329428817900","2820157150000","26234020"
"2021/04/22","195000","-13600","-6.52","207000","208000","194800","1712261","342725558400","5115633900000","26234020"
"2021/04/21","208600","-500","-0.24","209800","212300","207300","651560","136548367800","5472416572000","26234020"
"2021/04/20","209100","-300","-0.14","210500","213100","206500","658705","137880249300","5485533582000","26234020"
"2021/04/19","209400","10400","5.23","206100","214900","203200","1443261","303887404700","5493403788000","26234020"
"2021/04/16","199000","15400","8.39","185000","200000","183600","1524718","294977022700","5220569980000","26234020"
"2021/04/15","183600","6700","3.79","177600","184500","174200","958483","172427662600","4816566072000","26234020"
"2021/04/14","176900","-1600","-0.90","179400","180900","172500","520971","92198932100","4640798138000","26234020"
"2021/04/13","178500","2000","1.13","179200","181800","177000","891342","159838251400","4682772570000","26234020"
"2021/04/12","176500","7300","4.31","173000","179100","171700","1138179","199253240200","4630304530000","26234020"
"2021/04/09","169200","2200","1.32","168800","173400","166700","1097162","185964108200","4438796184000","26234020"
"2021/04/08","167000","27100","19.37","142200","178700","137300","4642535","768981108700","4381081340000","26234020"
"2021/04/07","139900","9500","7.29","131500","140800","130700","991395","135809704700","3670139398000","26234020"
"2021/04/06","130400","-3300","-2.47","134100","134300","130300","261023","34360225000","3420916208000","26234020"
"2021/04/05","133700","100","0.07","134200","135000","132900","211238","28275841100","3507488474000","26234020"
"2021/04/02","133600","-800","-0.60","134400","135600","132300","266365","35572883600","3504865072000","26234020"
"2021/04/01","134400","4300","3.31","130800","135000","128800","451189","59902987400","3525852288000","26234020"
"2021/03/31","130100","-900","-0.69","131700","135500","130100","412937","54661494600","3413046002000","26234020"
"2021/03/30","131000","2100","1.63","130300","133000","127600","421766","55032341700","3436656620000","26234020"
"2021/03/29","128900","-2000","-1.53","130600","131900","127900","355792","46137182300","3381565178000","26234020"
"2021/03/26","130900","-1700","-1.28","133800","139000","130000","667314","89215329800","3434033218000","26234020"
"2021/03/25","132600","-2500","-1.85","135000","135000","132200","295222","39333941000","3478631052000","26234020"
"2021/03/24","135100","-200","-0.15","136500","137400","132000","407615","54797139400","3544216102000","26234020"
"2021/03/23","135300","6300","4.88","129600","138300","129600","685136","92730544000","3549462906000","26234020"
"2021/03/22","129000","-3700","-2.79","133000","133100","129000","300940","39150092100","3384188580000","26234020"
"2021/03/19","132700","-1900","-1.41","132000","132900","129600","497591","65629949600","3481254454000","26234020"
"2021/03/18","134600","-100","-0.07","135800","136300","133400","310522","41789775400","3531099092000","26234020"
"2021/03/17","134700","3700","2.82","132000","136200","131500","530557","71257275600","3533722494000","26234020"
"2021/03/16","131000","900","0.69","133100","134300","130100","420681","55434466500","3436656620000","26234020"
"2021/03/15","130100","-100","-0.08","131000","132000","129500","215388","28085963100","3413046002000","26234020"
"2021/03/12","130200","1100","0.85","129700","132800","127300","508253","66237476400","3415669404000","26234020"
"2021/03/11","129100","-4100","-3.08","131000","131600","127700","452715","58414882000","3386811982000","26234020"
"2021/03/10","133200","3700","2.86","133800","138500","129700","873371","117138226800","3494371464000","26234020"
"2021/03/09","129500","6000","4.86","123000","129500","121800","526080","66775812100","3397305590000","26234020"
"2021/03/08","123500","600","0.49","124000","131000","123400","522518","66241343300","3239901470000","26234020"
"2021/03/05","122900","-3500","-2.77","125000","125200","121500","279088","34312174500","3224161058000","26234020"
"2021/03/04","126400","-2000","-1.56","125100","127700","122700","403473","50267286400","3315980128000","26234020"
"2021/03/03","128400","300","0.23","128300","130900","127400","388193","49962830600","3368448168000","26234020"
"2021/03/02","128100","3600","2.89","126000","133200","123800","1060835","136331453900","3360577962000","26234020"
"2021/02/26","124500","200","0.16","121000","126300","119600","945030","116094722100","3266135490000","26234020"
"2021/02/25","124300","-1200","-0.96","127700","128300","122800","939556","117471490200","3260888686000","26234020"
"2021/02/24","125500","-5300","-4.05","130800","134200","125500","1185527","152907960700","3292369510000","26234020"
"2021/02/23","130800","-23100","-15.01","149500","150100","129700","2231471","306506169000","3431409816000","26234020"
"2021/02/22","153900","-15600","-9.20","165000","166600","153500","962358","153593388200","4037415678000","26234020"
"2021/02/19","169500","-12300","-6.77","177500","178800","166700","741696","126671039900","4446666390000","26234020"
"2021/02/18","181800","10100","5.88","172800","184500","171500","986156","178005893000","4769344836000","26234020"
"2021/02/17","171700","1900","1.12","169900","173200","167900","287526","49255191200","4504381234000","26234020"
"2021/02/16","169800","-4400","-2.53","173200","174000","169300","356853","60968776100","4454536596000","26234020"
"2021/02/15","174200","-2200","-1.25","177100","177200","173700","217882","38098386700","4569966284000","26234020"
"2021/02/10","176400","1300","0.74","176100","177400","172500","241197","42191633900","4627681128000","26234020"
"2021/02/09","175100","-5000","-2.78","171000","179300","170500","641924","111452570700","4593576902000","26234020"
"2021/02/08","180100","1400","0.78","179100","183500","176100","356106","64431120400","4724747002000","26234020"
"2021/02/05","178700","4100","2.35","175600","181300","175200","396819","70894611800","4688019374000","26234020"
"2021/02/04","174600","-1400","-0.80","178000","185300","173700","657273","118097255000","4580459892000","26234020"
"2021/02/03","176000","3300","1.91","175100","178800","172800","406784","71517949900","4617187520000","26234020"
"2021/02/02","172700","-7000","-3.90","181800","181800","172400","480210","83914037900","4530615254000","26234020"
"2021/02/01","179700","14700","8.91","166600","183200","164400","912905","160957733100","4714253394000","26234020"
